codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI0780;Biblioteca Intesa Cariplo;Intesa Cariplo;Via Filodrammatici 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4675193;9,1881589;Milano
IT-MI0781;Biblioteca Filippo Sacchi;Cineteca italiana. Archivio storico del film;Via D. Manin 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4743719;9,1964201;Milano
IT-MI0783;Biblioteca della Schering-Plough;Schering-Plough spa;Centro direzionale Milano 2, palazzo Borromini;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5011454;9,2916939;Milano
IT-MI0784;Biblioteca Archivio della Fondazione Giacomo Brodolini;Fondazione Giacomo Brodolini. Sede di Milano;Via Daverio 7;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4592045;9,2007575;Milano
IT-MI0787;Biblioteca della Comunità di vita cristiana di S. Fedele;Gesuiti;Piazza S. Fedele 4;NON SPECIFICATA;NON SPECIFICATA;;;45,4664433;9,191258;Milano
IT-MI0788;Biblioteca della Facoltà teologica dell'Italia settentrionale;Facoltà teologica dell'Italia settentrionale;Via dei Cavalieri del S. Sepolcro, 3;Enti ecclesiastici;Specializzata;True;False;45,4736533;9,1848202;Milano
IT-MI0790;Biblioteca della Fulton medicinali;Fulton madicinali spa;Via Marconi 28;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5387613;9,0872792;Milano
IT-MI0791;Biblioteca delle Industrie chimiche farmaceutiche italiane - ICFI;;Via Ludovico di Breme 26;NON SPECIFICATA;NON SPECIFICATA;;;45,4976786;9,139105;Milano
IT-MI0792;Biblioteca della Innocenti;;Via Rubattino 37;NON SPECIFICATA;NON SPECIFICATA;;;45,4774984;9,2521857;Milano
IT-MI0795;Biblioteca Zeneca;Zeneca spa. Divisione farmaceutici;Via F. Sforza;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,3578155;9,1491826;Milano
IT-MI0796;Biblioteca Mediolanum farmaceutici;Mediolanum farmaceutici spa;Via S. Giuseppe Cottolengo 15;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4420848;9,1448414;Milano
IT-MI0801;Biblioteca dell'Organizzazione per la preparazione professionale degli insegnanti - OPPI;Organizzazione per la preparazione professionale degli insegnanti - OPPI;Via Console Marcello 20;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,5001877;9,14791119999995;Milano
IT-MI0806;Biblioteca della Scuola politecnica di design;;Viale Monza 259;NON SPECIFICATA;NON SPECIFICATA;;;45,5116915;9,2243054;Milano
IT-MI0807;Biblioteca di documentazione scientifica Plasmon dietetici alimentari - PLADA nord;Plasmon dietetici alimentari - PLADA nord srl;Via Cascina Bel Casule 7;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4319421;9,1959555;Milano
IT-MI0813;Biblioteca del Circolo aziendale Siemens;Siemens spa;Viale P. e A. Pirelli 10;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;45,5165349;9,2117539;Milano
IT-MI0816;Biblioteca della Società per la pace e la giustizia internazionale;Fondazione Ernesto Teodoro Moneta;Piazza XXV Aprile 16;NON SPECIFICATA;NON SPECIFICATA;;;45,480653;9,187182;Milano
IT-MI0817;Biblioteca della Scuola regionale per operatori sociali;Comune di Milano;Viale G. D'Annunzio 17;Comune;Specializzata;;False;45,4536683;9,176626;Milano
IT-MI0820;Biblioteca della Società italiana reti telefoniche interurbane - SIRTI;Società italiana reti telefoniche interurbane - SIRTI;Via S. d'Ancona 9;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;45,4994791;9,2289063;Milano
IT-MI0825;Biblioteca della Società prodotti antibiotici;Società prodotti antibiotici;Via Biella 8;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4398998;9,1553767;Milano
IT-MI0826;Biblioteca di Italia Nostra;Italia Nostra ONLUS. Associazione nazionale per la tutela del patrimonio storico artistico e naturale della nazione. Sezione di Milano;Via S. Pellico 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4648388;9,1892756;Milano
IT-MI0827;Biblioteca di Letture. Rassegna critica del libro e dello spettacolo dei Gesuiti di S. Fedele;Gesuiti;Piazza S. Fedele 4;NON SPECIFICATA;NON SPECIFICATA;;;45,4664433;9,191258;Milano
IT-MI0829;Biblioteca di Popoli. Rivista dei Gesuiti missionari italiani;Gesuiti;Piazza S. Fedele 4;Enti ecclesiastici;Specializzata;;True;45,4664433;9,191258;Milano
IT-MI0830;Centro di documentazione del Centro di forestazione urbana - Italia nostra;Italia nostra;Via Novara 340;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4831774;9,0897904;Milano
IT-MI0835;Biblioteca S. Sebastiano dell'Istituto nazionale per le regioni storiche - INARS;;Via Bigli 26;NON SPECIFICATA;NON SPECIFICATA;;;45,469611;9,1927972;Milano
IT-MI0836;Biblioteca Maurizio Quadrio;Associazione mazziniana italiana - AMI;Via Pantano 17;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4592308;9,192214;Milano
IT-MI0837;Biblioteca storica di medicina dell'Ospedale Maggiore di Milano;Ospedale Maggiore di Milano;Abbazia di Mirasole;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,3870324;9,2029056;Milano
IT-MI0838;Biblioteca scientifica dell'Ospedale Maggiore di Milano;Ospedale Maggiore di Milano. Istituto di ricovero e cura a carattere scientifico - IRCCS;Via F. Sforza 28;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;False;45,4606058;9,1962893;Milano
IT-MI0840;Biblioteca RCS libri;Rizzoli Corriere della Sera - RCS libri spa;Via Mecenate 91;Accademie, associazioni, fondazioni, istituti, societa' (privati);Importante non specializzata;;True;45,4510522;9,2507828;Milano
IT-MI0842;Centro di documentazione quotidiani;Rizzoli Corriere della Sera - RCS quotidiani spa;Via Solferino 28;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;45,4768732;9,1877061;Milano
IT-MI0844;Nastroteca MAC;Movimento apostolico ciechi - MAC;Via Vivaio 7;Enti ecclesiastici;Pubblica;;True;45,4693299;9,2039806;Milano
IT-MI0847;Biblioteca comunale Nanni Valentini;Comune di Arcore;Via Gorizia 20;Comune;Importante non specializzata;;False;45,6255115;9,3231565;Milano
IT-MI0849;Biblioteca dello Studio associato Centro di orientamento scolastico professionale e sociale - COSPES;Salesiani. Centro salesiano di psicologia;Via don F. Della Torre 2;Enti ecclesiastici;Specializzata;;True;45,5489197;9,0790203;Milano
IT-MI0850;Biblioteca della Pia Casa;Istituto geriatrico C. Golgi;Piazza C. Golgi 11;NON SPECIFICATA;NON SPECIFICATA;;;45,3976256;8,9167727;Milano
IT-MI0851;Biblioteca comunale;Comune di Albairate;Via Indipendenza 3;Comune;Pubblica;;False;45,4195833;8,9371694;Milano
IT-MI0853;Biblioteca comunale;Comune di Arese;Via dei Platani 6;Comune;Importante non specializzata;;False;45,5552577;9,0746217;Milano
IT-MI0854;Biblioteca tecnica Alfa Lancia;Alfa Lancia spa;Centro tecnico;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,55017;9,0783808;Milano
IT-MI0855;Biblioteca comunale;Comune di Bareggio;Via Marietti 2;Comune;Importante non specializzata;;False;45,4762477;8,9937095;Milano
IT-MI0856;Biblioteca comunale;Comune di Binasco;Via G. Matteotti;Comune;Pubblica;;False;45,3324918;9,1016665;Milano
IT-MI0857;Biblioteca comunale. Sede di Ospiate;Comune di Bollate;Via Galimberti 12;Comune;Pubblica;;False;45,5426053;9,1005269;Milano
IT-MI0860;Biblioteca comunale;Comune di Basiglio;Piazza Leonardo da Vinci;Comune;Importante non specializzata;;False;45,3610573;9,1579365;Milano
IT-MI0861;Biblioteca comunale. Sede di Cassina Nuova;Comune di Bollate;Via S. Bernardo 28;Comune;Pubblica;;False;45,560358;9,142418;Milano
IT-MI0862;Biblioteca Solvay-Solexis;Ausimont. Sede di Bollate;Viale Lombardia 20;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5534184;9,1088155;Milano
IT-MI0866;Biblioteca comunale;Comune di Brugherio;Via Italia 27;Comune;Pubblica;;False;45,551477;9,302178;Milano
IT-MI0867;Biblioteca comunale;Comune di Buccinasco;Via Tiziano 10;Comune;Importante non specializzata;;False;45,424988;9,1219825;Milano
IT-MI0868;Biblioteca comunale;Comune di Busto Garolfo;Via Magenta 25;Comune;Importante non specializzata;;False;45,5443046;8,8851911;Milano
IT-MI0870;Biblioteca della Zambon Group;Zambon Group SpA;Via L. del Duca 10;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,5314064;9,1899082;Milano
IT-MI1007;Biblioteca della Divisione chimica della Schering Spa;;Via Schering;NON SPECIFICATA;NON SPECIFICATA;;;45,4942567;9,2792421;Milano
IT-MI1034;Biblioteca comunale Aldo Moro;Comune di Villasanta;Via Confalonieri 55;Comune;Importante non specializzata;;False;45,604387;9,3000772;Milano
IT-MI1035;Biblioteca comunale. Sede decentrata di Ruginello;Comune di Vimercate;Via Diaz 23;Comune;Pubblica;;False;45,6246358;9,3853028;Milano
IT-MI1072;Biblioteca dell'Istituto di economia sanitaria - IES;Istituto di economia sanitaria - IES srl;Via Petrarca 13;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4708935;9,1687617;Milano
IT-MI1073;Biblioteca dell'Istituto internazionale per l'Africa. Institut international pour l'Afrique;;Via P. Verri 6;NON SPECIFICATA;NON SPECIFICATA;;;45,4675811;9,1943514;Milano
IT-MI1075;Biblioteca dell'Unione femminile nazionale;Unione femminile nazionale ;Corso di Porta Nuova 32;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4765354;9,1918583;Milano
IT-MI1076;Biblioteca della Fondazione Gustavo Sanvenero-Rosselli;Fondazione Gustavo Sanvenero-Rosselli;Via Marchiondi 7;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4555199;9,1932252;Milano
IT-MI1078;Biblioteca della Società numismatica italiana;Società numismatica italiana;Via Orti 3;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4548391;9,1986457;Milano
IT-MI1080;Biblioteca della Fondazione Felicita ed Enrico Bignaschi e figli;Fondazione Felicita ed Enrico Bignaschi e figli;Via Olmetto 3;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,459989;9,1858682;Milano
IT-MI1082;Biblioteca della Società italiana di tanatologia;;Viale G. Cimabue 5;NON SPECIFICATA;NON SPECIFICATA;;;45,4882088;9,1401796;Milano
IT-MI1084;Biblioteca dello Studio sperimentale stradale;;Via Basilicata 1;NON SPECIFICATA;NON SPECIFICATA;;;0,0;0,0;Milano
IT-MI1085;Associazione Biblioteca Tremelloni del tessile e della moda;Associazione Biblioteca Tremelloni del tessile e della moda;;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,5043035;9,1640973;Milano
IT-MI1087;Biblioteca del Centro di ricerca elettrica dell'Enel-CREL;;Via A. Volta 1;NON SPECIFICATA;NON SPECIFICATA;;;45,5256553;9,2862115;Milano
IT-MI1089;Mediateca di Milano Civica Scuola di Musica   ;Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.;Via Stilicone 36;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,491166;9,1680836;Milano
IT-MI1091;Biblioteca della Civica scuola di liuteria;Comune di Milano. Civica scuola di liuteria;Via Noto 4;Comune;Specializzata;;True;45,4313916;9,2012123;Milano
IT-MI1092;Biblioteca dell'Istituto per la conservazione e la valorizzazione dei beni culturali del CNR;Consiglio nazionale delle ricerche - CNR. Istituto per la conservazione e la valorizzazione dei beni culturali. Sezione Gino Bozza;Piazza Leonardo da Vinci 32;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,4775146;9,2267609;Milano
IT-MI1093;Biblioteca Centro di documentazione sulla sicurezza e igiene del lavoro - CEDIS;Centro di documentazione sulla sicurezza e igiene del lavoro - CEDIS srl;Viale Milanofiori, palazzo E/2;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,405768;9,149364;Milano
IT-MI1094;Biblioteca dell'Istituto per la storia del pensiero filosofico e scientifico moderno - ISPF del CNR;Consiglio nazionale delle ricerche - CNR. Istituto per la storia del pensiero filosofico e scientifico moderno - ISPF. Sezione di Milano;Via A. De Togni 7;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,4647494;9,1734951;Milano
IT-MI1095;Biblioteca dell'Istituto di matematica applicata e tecnologie informatiche del CNR;Consiglio nazionale delle ricerche - CNR. Istituto di matematica applicata e tecnologie informatiche. Sezione di Milano;Via E. Bassini 15;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,4795742;9,2320401;Milano
IT-MI1096;Biblioteca del Centro di elettronica quantistica e strumentazione elettronica del CNR;Consiglio nazionale delle ricerche - CNR. Centro di elettronica quantistica e strumentazione elettronica;Piazza Leonardo da Vinci 32;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,4775146;9,2267609;Milano
IT-MI1097;Biblioteca del Centro italiano di ricerche e d'informazione sull'economia pubblica, sociale e cooperativa - CIRIEC;Centro italiano di ricerche e d'informazione sull'economia delle imprese pubbliche e di pubblico interesse - CIRIEC;Via fratelli Gabba 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4701212;9,1905387;Milano
IT-MI1098;Biblioteca del Centro Inox;Centro Inox;Piazza Velasca 10;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4595968;9,1905644;Milano
IT-MI1099;Biblioteca dell'Istituto italiano del rame;Istituto italiano del rame;Via C. D'ascanio 4;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,418448;9,1771239;Milano
IT-MI1100;Biblioteca della Società generale di telefonia ed elettronica;Società generale di telefonia ed elettronica;Via Bernina 12;NON SPECIFICATA;NON SPECIFICATA;;;45,4946387;9,180839;Milano
IT-MI1101;Biblioteca della Fondazione Corrente;Fondazione Corrente;Via C. Porta 5;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,473959;9,193662;Milano
IT-MI1102;Biblioteca dell'Istituto vaccinogeno antitubercolare;Istituto vaccinogeno antitubercolare. Ente morale;Via Clericetti 45;NON SPECIFICATA;NON SPECIFICATA;;;45,4796459;9,2353924;Milano
IT-MI1103;Biblioteca dell'Istituto per le tecnologie biomediche avanzate del CNR;Consiglio nazionale delle ricerche. Istituto per le tecnologie biomediche avanzate;Via Ampere 56;NON SPECIFICATA;NON SPECIFICATA;;;45,4840736;9,2264887;Milano
IT-MI1105;Biblioteca dell'Istituto di chimica degli ormoni del CNR;Consiglio nazionale delle ricerche. Istituto di chimica degli ormoni;Via M. Bianco 9;NON SPECIFICATA;NON SPECIFICATA;;;45,4879378;9,2286823;Milano
IT-MI1107;Biblioteca dell'Istituto regionale ricerca educativa - IRRE. Lombardia;Istituto regionale ricerca educativa - IRRE. Lombardia;Via Leone XIII  10;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;45,4746216;9,162678;Milano
IT-MI1108;Biblioteca dell'Istituto lombardo per gli studi economici e sociali. ILSES;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1109;Biblioteca della Civica siloteca Cormio;Civica siloteca Cormio di Milano;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1111;The International college of arts and sciences library;The International college of arts and sciences;Via Olmetto 5;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;45,4597957;9,1855972;Milano
IT-MI1112;Biblioteca Formaper dell'Azienda speciale della Camera di commercio di Milano;Camera di commercio di Milano. Azienda speciale Formaper;Via Camperio 1;Camere di commercio, industria, artigianato;Specializzata;;False;45,4659748;9,1835555;Milano
IT-MI1113;Biblioteca della Nuova accademia di belle arti - NABA;Nuova accademia di belle arti - NABA;Via Darwin 20;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;45,4454741;9,1746836;Milano
IT-MI1114;Biblioteca della Scuola di pubblicità David Campari;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1115;Biblioteca della Società italiana per gli studi filosofici e religiosi;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1118;Biblioteca CRS Montefluos Milano;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1119;Biblioteca di Bioingegneria del Dipartimento di Elettronica, Informazione e Bioingegneria (DEIB) del Politecnico di Milano;Politecnico di Milano. Dipartimento di bioingegneria;;Universita' statali;Istituto di insegnamento superiore;True;;45,4769333;9,2322851;Milano
IT-MI1120;Biblioteca della Facoltà di economia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di economia;Via Sigieri 6;Universita' statali;Istituto di insegnamento superiore;;;45,4528453;9,2098722;Milano
IT-MI1121;Biblioteca del Dipartimento di ingegneria gestionale - DIG del Politecnico di Milano;Politecnico di Milano. Dipartimento di ingegneria gestionale - DIG;;Universita' statali;Istituto di insegnamento superiore;;False;45,5006407;9,1548093;Milano
IT-MI1122;Biblioteca del secondo corso di laurea della Facoltà di giurisprudenza dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di giurisprudenza;Via Mercalli 21;Universita' statali;Istituto di insegnamento superiore;;;45,4554296;9,1904559;Milano
IT-MI1123;Archivio delle tesi di laurea dell'Università degli studi di Milano;Università degli studi di Milano. Archivio delle tesi di laurea;Via Festa del Perdono 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4603257;9,1937983;Milano
IT-MI1124;Biblioteca comunale. Sede di Baranzate;Comune di Bollate;Via Trieste 23;Comune;Pubblica;;False;0,0;0,0;Milano
IT-MI1128;Biblioteca del Polo di lingue e letterature straniere - Centro studi Stati Uniti dell'Università degli studi di Milano;Università degli studi di Milano.  Polo di lingue e letterature straniere;Piazza S. Alessandro 1;Universita' statali;Istituto di insegnamento superiore;;False;45,461153;9,1864033;Milano
IT-MI1129;Biblioteca Alberto Malliani dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia. Polo didattico di Vialba;Via G.B. Grassi 74;Universita' statali;Istituto di insegnamento superiore;;False;45,5156786;9,1223678;Milano
IT-MI1130;Biblioteca del Dipartimento di medicina traslazionale - Sezione di chirurgia plastica dell' Università degli studi di Milano;Università degli studi di Milano. Dipartimento di medicina traslazionale - Sez. di chirurgia plastica;Piazza Ospedale Maggiore 3;Universita' statali;Istituto di insegnamento superiore;;;45,5091594;9,188855;Milano
IT-MI1131;Biblioteca del Dipartimento toraco polmonare e cardiocircolatorio - Sezione di Chirurgia sperimentale, dei trapianti e cardiovascolare - Università degli studi di Milano;Università degli studi di Milano.Dipartimento toraco polmonare e cardiocircolatorio - Sez. di Chirurgia sperimentale, dei trapianti e cardiovascolare;Via F. Sforza 35;Universita' statali;Istituto di insegnamento superiore;;False;45,4591996;9,1950329;Milano
IT-MI1133;Biblioteca del Dipartimento di scienze medico-chirurgiche San Donato dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze medico-chirurgiche San Donato;Via F. Morandi 30;Universita' statali;Istituto di insegnamento superiore;;False;45,4111776;9,2723837;Milano
IT-MI1134;Biblioteca del Dipartimento di sanità pubblica, microbiologia, virologia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia. Istituto di igiene;Via Pascal 36;Universita' statali;Istituto di insegnamento superiore;;False;45,4785402;9,2343645;Milano
IT-MI1135;Biblioteca del Dipartimento di sanità pubblica, microbiologia, virologia - Sezione di igiene e medicina preventiva dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia. Istituto di igiene e medicina preventiva;Via F. Sforza 35;Universita' statali;Istituto di insegnamento superiore;;False;45,4591996;9,1950329;Milano
IT-MI1137;Biblioteca dell'Abbazia di Nostra Signora della Trinità;Abbazia di Nostra Signora della Trinità di Milano;Via Meravigli 16;Enti ecclesiastici;Specializzata;;;45,4657154;9,181558;Milano
IT-MI1138;Biblioteca della Comunità di S. Alessandro martire;Barnabiti. Comunità di S. Alessandro di Milano;Piazza Missori 4;Enti ecclesiastici;Specializzata;;True;45,4608884;9,1881776;Milano
IT-MI1139;Biblioteca grafica delle scuole professionali Don Bosco;Salesiani. Scuole professionali Don Bosco di Milano;Via Tonale 19;Enti ecclesiastici;Specializzata;;True;45,4892554;9,2017063;Milano
IT-MI1140;Biblioteca del Monastero S. Benedetto;Benedettine dell'Adorazione perpetua del SS. Sacramento. Monastero S. Benedetto di Milano;Via F. Bellotti 10;Enti ecclesiastici;Specializzata;;True;45,4707228;9,2089489;Milano
IT-MI1141;Biblioteca Oblati missionari;Oblati missionari. Collegio di Rho;Corso Europa 228;Enti ecclesiastici;Specializzata;;True;45,5326868;9,0383592;Milano
IT-MI1142;Biblioteca Benedettine Abbazia Viboldone;Benedettine. Monastero SS. Pietro e Paolo di Viboldone di                   San Giuliano;Via dell'Abbazia 6;Enti ecclesiastici;Specializzata;;True;45,3845223;9,2783161;Milano
IT-MI1143;Biblioteca Centro documentazione ricerche su Asia, Africa e America latina;Centro documentazione ricerche su Asia, Africa e America Latina - CEDRA;Via Fante d'Italia 2;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;;45,5355606;9,2359927;Milano
IT-MI1144;Biblioteca del Museo Poldi Pezzoli. Sezione moderna;Fondazione artistica Poldi Pezzoli;Via Bigli, 19;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,469023216445;9,19179412593382;Milano
IT-MI1145;Biblioteca del Dipartimento di chimica, materiali e ingegneria chimica Giulio Natta del Politecnico di Milano;Politecnico di Milano. Dipartimento di chimica, materiali e ingegneria chimica Giulio Natta;;Universita' statali;Istituto di insegnamento superiore;;;45,4894738;9,2276115;Milano
IT-MI1147;Biblioteca del Centro ricerche Giuseppe Di Vittorio;Centro ricerche Giuseppe Di Vittorio;Via E. Breda 56;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;;45,5316995;9,2289861;Milano
IT-MI1149;Biblioteca della Fondazione europea Dragan;Fondazione europea Dragan. Direzione generale di Milano;Via Larga 9;Organizzazioni internazionali;Specializzata;;;45,4619967;9,1931426;Milano
IT-MI1150;Biblioteca dell'Istituto superiore di comunicazione - ISC;Istituto superiore di comunicazione - ISC srl;Piazza A. Diaz 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4626342;9,1896652;Milano
IT-MI1152;Biblioteca della Scuola universitaria di discipline infermieristiche - SUDI della Facoltà di medicina e chirurgia dell'Università degli studi di Milano;Università degli studi di Milano.Facoltà di medicina e chirurgia. Scuola universitaria di discipline infermieristiche - SUDI;Via T. Pini 1;Universita' statali;Istituto di insegnamento superiore;;False;45,4851205;9,2410996;Milano
IT-MI1154;Biblioteca campus Durando del Politecnico di Milano;Politecnico di Milano;Via Candiani, 72 (Campus Bovisa - edificio B1);Universita' statali;Istituto di insegnamento superiore;True;True;45,5043035;9,1640973;Milano
IT-MI1155;Biblioteche pubbliche rionali;Comune di Milano;Via Sant' Erlembaldo 4;Comune;Pubblica;;;45,463681;9,1881714;Milano
IT-MI1156;Biblioteca privata Guglielmo Barblan;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1157;Biblioteca privata Polesini;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1158;Biblioteca privata Federico Mompellio;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1159;Biblioteca privata Luciano Petazzoni;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1163;Biblioteca privata Maglio;;;NON SPECIFICATA;NON SPECIFICATA;;;45,4636889;9,1881408;Milano
IT-MI1164;Biblioteca SS. Trinità;Arcidiocesi di Milano. Parrocchia SS. Trinità;Via Giusti 27;Enti ecclesiastici;Specializzata;;False;45,4799375;9,1754963;Milano
IT-MI1165;Biblioteca e Archivio della Parrocchia prepositurale S. Francesco di Paola;Arcidiocesi di Milano. Parrocchia prepositurale S. Francesco di Paola;Via Montenapoleone 22;Enti ecclesiastici;Specializzata;;True;45,469801;9,193411;Milano
IT-MI1167;Biblioteca della parrocchia Ss. Martiri Nazaro e Celso;Arcidiocesi di Milano. Parrocchia Ss. Martiri Nazaro e Celso;Via Aldini 33;Enti ecclesiastici;Pubblica;;False;45,5125;9,1349707;Milano
IT-MI1168;Archivio della Chiesa di S. Maria presso S. Celso;;Corso Italia 37;NON SPECIFICATA;NON SPECIFICATA;;;45,4550399;9,1872253;Milano
IT-MI1169;Archivio della Chiesa di S. Bartolomeo;;Via Moscova 6/8;NON SPECIFICATA;NON SPECIFICATA;;;45,4756152;9,1956912;Milano
IT-MI1170;Biblioteca della Parrocchia di S. Babila;Arcidiocesi di Milano. Parrocchia di S. Babila;Corso Monforte 1;Enti ecclesiastici;Specializzata;;True;45,4667994;9,1987241;Milano
IT-MI1171;Biblioteca privata Gioxe De Micheli;;Via Pasquale Paoli 5;Privati - Famiglie;NON SPECIFICATA;;;45,450395740641;9,17190350489352;Milano
IT-MI1173;Biblioteca Aree Amministrazione Centrale Politecnico di Milano;Politecnico di Milano;;Universita' statali;Istituto di insegnamento superiore;;;45,4775146;9,2267609;Milano
IT-MI1174;Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di geologia e paleontologia dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio;Via Mangiagalli 34;Universita' statali;Istituto di insegnamento superiore;;False;45,4742393;9,229164;Milano
IT-MI1175;Biblioteca d'Ateneo. Sede centrale dell'Università degli studi di Milano-Bicocca;Università degli studi di Milano-Bicocca;Piazza dell'Ateneo nuovo 1;Universita' statali;Istituto di insegnamento superiore;;False;45,5174253;9,2134138;Milano
IT-MI1176;Biblioteca del Polo LITA Segrate della Facoltà di medicina e chirurgia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia;Via fratelli Cervi 93;Universita' statali;Istituto di insegnamento superiore;;False;45,4970514;9,2631858;Milano
IT-MI1177;Biblioteca nazionale Braidense. Ufficio ricerca fondi musicali;Biblioteca Nazionale Braidense;Via Conservatorio 12;Ministero dei beni e delle attività culturali e del turismo;NON SPECIFICATA;True;False;45,4645768;9,2031306;Milano
IT-MI1178;Collezione privata Gallotti;;Ripa ticinese 75;Privati - Famiglie;NON SPECIFICATA;;;45,4500091;9,1681644;Milano
IT-MI1179;Biblioteca della Fondazione Mansutti;Fondazione Mansutti  onlus;Via Rugabella, 10;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;False;False;45,4584468;9,1882415;Milano
IT-MI1182;Biblioteca comunale;Comune di Bubbiano;Via Roma 3;Comune;Pubblica;;False;45,32719;9,01542;Milano
IT-MI1183;Centro multimediale;Comune di Cinisello Balsamo;Via G. Verga 115;Comune;Specializzata;;False;45,5525415;9,2004279;Milano
IT-MI1184;Biblioteca comunale;Comune di Cisliano;Via Arrigoni 12;Comune;Pubblica;;False;45,4322753;9,0035604;Milano
