codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
IT-MI0648;Biblioteca del Dipartimento di sanità pubblica, microbiologia, virologia - Sezione di virologia dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina e chirurgia. Istituto di virologia;Via Pascal 38;Universita' statali;Istituto di insegnamento superiore;;False;45,4785282;9,2349007;Milano
IT-MI0649;Biblioteca dell'Istituto di alimentazione animale della Facoltà di medicina veterinaria dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto di alimentazione animale;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI0651;Biblioteca dell'Istituto di farmacologia e tossicologia veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto di farmacologia e tossicologia veterinaria;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI0652;Biblioteca dell'Istituto di ispezione degli alimenti di origine animale. Sezione II della Facoltà di medicina veterinaria dell'Università di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto di ispezione degli alimenti di origine animale. Sezione II;Via Grasselli 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4611135;9,2277881;Milano
IT-MI0653;Biblioteca dell'Istituto di medicina legale e legislazione veterinaria della Facoltà di medicina veterinaria dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto di medicina legale e legislazione veterinaria;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI0654;Biblioteca del Dipartimento di scienze animali dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di medicina veterinaria. Istituto di zootecnia veterinaria;Via Celoria 10;Universita' statali;Istituto di insegnamento superiore;;False;45,4769001;9,22917;Milano
IT-MI0655;Biblioteca biologica dell'Università degli studi di Milano;Università degli studi di Milano;Via Celoria 26;Universita' statali;Istituto di insegnamento superiore;;False;45,4769318;9,2340137;Milano
IT-MI0656;Biblioteca di chimica dell'Università degli studi di Milano;Università degli studi di Milano;Via Venezian 21;Universita' statali;Istituto di insegnamento superiore;;False;45,4743314;9,2343043;Milano
IT-MI0657;Biblioteca di fisica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di fisica;Via Celoria 16;Universita' statali;Istituto di insegnamento superiore;;False;45,476908;9,2304131;Milano
IT-MI0658;Biblioteca dell'Istituto di fisica generale applicata della Facoltà di scienze matematiche, fisiche e naturali dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di scienze matematiche, fisiche e naturali. Istituto di fisica generale applicata;Via Celoria 16;Universita' statali;Istituto di insegnamento superiore;;;45,476908;9,2304131;Milano
IT-MI0659;Biblioteca del Dipartimento di chimica fisica ed elettrochimica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di chimica fisica ed elettrochimica;Via Golgi 19;Universita' statali;Istituto di insegnamento superiore;;False;45,4751617;9,2343528;Milano
IT-MI0661;Biblioteca del Dipartimento di chimica organica e industriale dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di chimica organica e industriale;Via Venezian 21;Universita' statali;Istituto di insegnamento superiore;;False;45,4743314;9,2343043;Milano
IT-MI0662;Biblioteca del Dipartimento di chimica inorganica, metallorganica e analitica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di chimica inorganica, metalllorganica e analitica;Via Venezian 21;Universita' statali;Istituto di insegnamento superiore;;False;45,4743314;9,2343043;Milano
IT-MI0663;Biblioteca matematica del Dipartimento di matematica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di matematica;Via C. Saldini 50;Universita' statali;Istituto di insegnamento superiore;;False;45,4738378;9,2273755;Milano
IT-MI0664;Biblioteca di informatica dell'Università degli studi di Milano;Università degli studi di Milano. Dipartimento di informatica;Via Comelico 39;Universita' statali;Istituto di insegnamento superiore;;False;45,4540847;9,2149818;Milano
IT-MI0666;Biblioteca biomedica di Città Studi;Università degli studi di Milano;Via Valvassori Peroni 21;Universita' statali;Istituto di insegnamento superiore;;False;45,4764926077199;9,23663851296692;Milano
IT-MI0669;Biblioteca di scienze politiche Enrica Collotti Pischel dell'Università degli studi di Milano;Università degli studi di Milano. Facoltà di scienze politiche;Via Conservatorio 7;Universita' statali;Istituto di insegnamento superiore;;False;45,4657929;9,2027552;Milano
IT-MI0671;Biblioteca Anna Maria Mozzoni;ENDAS. Ente nazionale democratico di azione sociale. Direzione generale della Lombardia;Via Cosimo del fante 12;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;45,4553757;9,1851349;Milano
IT-MI0673;Biblioteca del Centro italiano di studi amministrativi - CIS;Centro italiano di studi amministrativi - CIS. Sezione lombarda;Corso Porta Vigentina 15/a;NON SPECIFICATA;NON SPECIFICATA;;;45,4543494;9,1959146;Milano
IT-MI0675;Biblioteca Cesare Pozzo;Società nazionale di mutuo soccorso Cesare Pozzo;Via S. Gregorio 46/48;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;45,4813603;9,2007506;Milano
