route_id;route_type;stop_id;stop_name;stop_desc;Lat;Long;zone_id;stop_url;location_type;parent_station;wheelchair_boarding;IDquartiere;SEZ2011;stopCode
T1;0;12246;via venini via battaglia;;45.4897578855006;9.21431456148973;;;;;2.0;20;151460000993;12246_T1
T1;0;12243;v.le brianza;;45.4881808683513;9.21265057742706;;;;;1.0;20;151460001000;12243_T1
T1;0;12182;caiazzo m2;;45.485153935942;9.20946264423446;;;;;2.0;10;151460000921;12182_T1
T1;0;12180;via settembrini;;45.483769909783796;9.2080326742858;;;;;1.0;10;151460000919;12180_T1
T1;0;12174;via vitruvio;;45.482538941786004;9.20670473267057;;;;;2.0;10;151460000913;12174_T1
T1;0;11891;p.za cincinnato;;45.479901949829205;9.20393074897193;;;;;1.0;10;151460000900;11891_T1
T5;0;11891;p.za cincinnato;;45.479901949829205;9.20393074897193;;;;;1.0;10;151460000900;11891_T5
T1;0;11888;v.le tunisia;;45.478850989040005;9.20292073571543;;;;;2.0;10;151460000896;11888_T1
T5;0;11888;v.le tunisia;;45.478850989040005;9.20292073571543;;;;;2.0;10;151460000896;11888_T5
T1;0;11849;v.le vittorio veneto;;45.476909996183394;9.20113081189649;;;;;2.0;10;151460000892;11849_T1
T33;0;11849;v.le vittorio veneto;;45.476909996183394;9.20113081189649;;;;;2.0;10;151460000892;11849_T33
T1;0;11871;repubblica m3;;45.478120954068004;9.19744180581786;;;;;2.0;10;151460000884;11871_T1
T1;0;11837;turati m3;;45.4760389873771;9.194702874220381;;;;;1.0;2;151460000491;11837_T1
BNM3;3;11837;turati m3;;45.4760389873771;9.194702874220381;;;;;1.0;2;151460000491;11837_BNM3
T1;0;11835;p.za cavour;;45.472627008572104;9.19510590391631;;;;;2.0;2;151460000443;11835_T1
T1;0;11829;montenapoleone m3;;45.47023603479779;9.19289990590099;;;;;1.0;2;151460000100;11829_T1
T1;0;11558;teatro alla scala;;45.46757705436129;9.19004698049582;;;;;2.0;2;151460000097;11558_T1
T1;0;11493;cordusio m1;;45.4656690825621;9.18681801459969;;;;;1.0;2;151460000088;11493_T1
T1;0;11544;via cusani;;45.4688640138805;9.18455504630233;;;;;1.0;2;151460000122;11544_T1
T1;0;11535;cairoli m1;;45.4681590569695;9.181931059360991;;;;;2.0;2;151460000123;11535_T1
T19;0;11535;cairoli m1;;45.4681590569695;9.181931059360991;;;;;2.0;2;151460000123;11535_T19
T1;0;11521;foro buonaparte via ricasoli;;45.4676340278903;9.17982411844395;;;;;2.0;1;151460000029;11521_T1
T19;0;11521;foro buonaparte via ricasoli;;45.4676340278903;9.17982411844395;;;;;2.0;1;151460000029;11521_T19
T1;0;11269;cadorna m1 m2;;45.4680309805364;9.175954139658142;;;;;1.0;7;151460000391;11269_T1
T19;0;11269;cadorna m1 m2;;45.4680309805364;9.175954139658142;;;;;1.0;7;151460000391;11269_T19
T1;0;11264;p.za virgilio;;45.468472990791;9.17246521503509;;;;;2.0;7;151460000393;11264_T1
T19;0;11264;p.za virgilio;;45.468472990791;9.17246521503509;;;;;2.0;7;151460000393;11264_T19
T1;0;11255;via venti settembre;;45.469857987030494;9.17064918244665;;;;;2.0;7;151460000407;11255_T1
T19;0;11255;via venti settembre;;45.469857987030494;9.17064918244665;;;;;2.0;7;151460000407;11255_T19
T1;0;11254;l.go quinto alpini;;45.472093935673705;9.16770627023952;;;;;2.0;68;151460000642;11254_T1
T19;0;11254;l.go quinto alpini;;45.472093935673705;9.16770627023952;;;;;2.0;68;151460000642;11254_T19
T1;0;11259;via pagano via canova;;45.4736119206355;9.16932620261984;;;;;1.0;68;151460000644;11259_T1
T10;0;11259;via pagano via canova;;45.4736119206355;9.16932620261984;;;;;1.0;68;151460000644;11259_T10
B61;3;11259;via pagano via canova;;45.4736119206355;9.16932620261984;;;;;1.0;68;151460000644;11259_B61
T1;0;11261;arco della pace;;45.4770468678148;9.17069816313322;;;;;2.0;69;151460000660;11261_T1
T10;0;11261;arco della pace;;45.4770468678148;9.17069816313322;;;;;2.0;69;151460000660;11261_T10
T1;0;11291;c.so sempione via canova;;45.4783408796735;9.168495175002;;;;;2.0;68;151460004535;11291_T1
T10;0;11291;c.so sempione via canova;;45.4783408796735;9.168495175002;;;;;2.0;68;151460004535;11291_T10
T1;0;11282;c.so sempione via villasanta;;45.479196866306104;9.1673582295656;;;;;2.0;69;151460004670;11282_T1
T10;0;11282;c.so sempione via villasanta;;45.479196866306104;9.1673582295656;;;;;2.0;69;151460004670;11282_T10
T1;0;11279;c.so sempione via procaccini;;45.480210844453296;9.166054215635288;;;;;2.0;69;151460004635;11279_T1
T10;0;11279;c.so sempione via procaccini;;45.480210844453296;9.166054215635288;;;;;2.0;69;151460004635;11279_T10
T1;0;10961;domodossola fn m5;;45.4821317870153;9.163516222116439;;;;;2.0;69;151460004629;10961_T1
T1;0;10957;c.so sempione via arona;;45.483980785115996;9.16106126332287;;;;;2.0;69;151460004617;10957_T1
T19;0;10957;c.so sempione via arona;;45.483980785115996;9.16106126332287;;;;;2.0;69;151460004617;10957_T19
T1;0;10944;c.so sempione via e. filiberto;;45.4856897701075;9.15881426071326;;;;;2.0;69;151460004569;10944_T1
T19;0;10944;c.so sempione via e. filiberto;;45.4856897701075;9.15881426071326;;;;;2.0;69;151460004569;10944_T19
T1;0;10979;p.za firenze;;45.4878577415298;9.156194306303039;;;;;2.0;70;151460004803;10979_T1
T1;0;10965;v.le certosa v.le serra;;45.4899016897828;9.15178236350315;;;;;2.0;71;151460004826;10965_T1
T14;0;10965;v.le certosa v.le serra;;45.4899016897828;9.15178236350315;;;;;2.0;71;151460004826;10965_T14
T1;0;10688;v.le certosa via grosotto;;45.4916266426338;9.14797834784699;;;;;2.0;71;151460004829;10688_T1
T14;0;10688;v.le certosa via grosotto;;45.4916266426338;9.14797834784699;;;;;2.0;71;151460004829;10688_T14
T1;0;14998;p.le accursio;;45.49282663491421;9.14537342326833;;;;;2.0;71;151460004864;14998_T1
T14;0;14998;p.le accursio;;45.49282663491421;9.14537342326833;;;;;2.0;71;151460004864;14998_T14
T1;0;10685;v.le espinasse p.le accursio;;45.4941336682635;9.14448436274813;;;;;2.0;71;151460004870;10685_T1
T1;0;10683;v.le espinasse via casella;;45.495614602633296;9.143420401605491;;;;;2.0;71;151460004881;10683_T1
T1;0;10707;v.le espinasse via nuvolone;;45.49785861477489;9.14182742010024;;;;;2.0;71;151460004897;10707_T1
T1;0;10705;p.le santorre di santarosa;;45.500304515416204;9.140116387498711;;;;;;71;151460004906;10705_T1
T1;0;14972;v.le espinasse via palizzi;;45.50288752122889;9.138904384300051;;;;;2.0;71;151460005304;14972_T1
T12;0;14972;v.le espinasse via palizzi;;45.50288752122889;9.138904384300051;;;;;2.0;71;151460005304;14972_T12
T1;0;10727;certosa s;;45.5079934408745;9.13706540243501;;;;;2.0;76;151460005227;10727_T1
T12;0;10727;certosa s;;45.5079934408745;9.13706540243501;;;;;2.0;76;151460005227;10727_T12
T1;0;10480;via mambretti;;45.5093064216955;9.132038475105631;;;;;2.0;76;151460005224;10480_T1
T12;0;10480;via mambretti;;45.5093064216955;9.132038475105631;;;;;2.0;76;151460005224;10480_T12
