,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
0,IT-AG0001,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Regione siciliana. Soprintendenza per i beni culturali e ambientali,"[37.3361677, 13.5880717]",Contrada S. Nicola,Regione,Specializzata,,True
1,IT-AG0005,Biblioteca dell'Archivio di Stato di Agrigento,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Agrigento,"[37.3221644312329, 13.5886026454773]",Via Mazzini 185,Direzione generale Archivi,Specializzata,,True
2,IT-AG0006,Biblioteca del Seminario vescovile,Seminario vescovile Molfetta,"[37.3137125, 13.5749656]",Piazza don Minzoni,Enti ecclesiastici,Specializzata,False,False
3,IT-AG0007,Biblioteca Comunale Franco La Rocca,Comune di Agrigento,"[37.3096114156152, 13.5861396789551]",Piazzale Aldo Moro n. 3,Comune,Importante non specializzata,True,False
4,IT-AG0008,Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti,Comune di Agrigento,"[37.4050904, 13.5291051]",Via Belvedere 127,Comune,Pubblica,,False
5,IT-AG0009,Biblioteca popolare San Vito,,"[37.3105394, 13.5869401]",Via San Vito 6,NON SPECIFICATA,NON SPECIFICATA,,
6,IT-AG0010,Biblioteca Comunale,Comune d'Aragona,"[37.4800295, 13.5458603]",Piazza Umberto  I ,Comune - Istituzione comunale,Pubblica,,False
7,IT-AG0011,Biblioteca comunale,Comune di Bivona,"[37.6184977, 13.4405434]",Piazza G. Marconi 43,Comune,Pubblica,,False
8,IT-AG0012,Biblioteca comunale,Comune di Caltabellotta,"[37.5768578, 13.2157946]",Piazza Umberto I,Comune,Pubblica,,False
9,IT-AG0014,Biblioteca Comunale,Comune di Cammarata,"[37.6308269, 13.6371923]",Via dei Giardini,Comune,Pubblica,,False
10,IT-AG0016,Biblioteca comunale,Comune di Castrofilippo,"[37.350753, 13.7501912]",Via Michelangelo n. 9,Comune,Pubblica,,False
11,IT-AG0017,Biblioteca comunale,Comune di Cattolica Eraclea,"[37.438755, 13.3952266]",Via collegio,Comune,Pubblica,,False
12,IT-AG0018,Biblioteca comunale Alessio Di Giovanni,Comune di Cianciana,"[37.5264394, 13.4336571]",Corso Vittorio Emanuele,Comune,Pubblica,,False
13,IT-AG0019,Biblioteca Comunale,Comune di Comitini,"[37.4086694, 13.6436159]",Piazza G. Bellacera 20,Comune,Pubblica,,False
14,IT-AG0020,Biblioteca della Parrocchia della Beata Maria Vergine dell'Itria,,"[37.3178646, 13.6639854]",Via Beneficenza Mendola,NON SPECIFICATA,NON SPECIFICATA,,
15,IT-AG0021,Biblioteca del Circolo di cultura il Gattopardo,,"[37.3211216, 13.6624159]",Via Amendola 4,NON SPECIFICATA,NON SPECIFICATA,,
16,IT-AG0022,Biblioteca Comunale Barone Antonio Mendola,Comune di Favara,"[37.3147813, 13.6604992]",Piazza Cavour 56,Comune,Pubblica,,False
17,IT-AG0024,Biblioteca comunale Martin Luther King,Comune di Grotte,"[37.4034467, 13.7023793]",Via Fonte 3,Comune,Importante non specializzata,,False
18,IT-AG0025,Biblioteca comunale,Comune di Joppolo Giancaxio,"[37.3868747, 13.5551581]",Via Torino,Comune,Pubblica,,False
19,IT-AG0027,Biblioteca Comunale Piersanti Mattarella,Comune di Lucca Sicula,"[37.5786421572381, 13.3070667306885]",Corso Vittorio Emanuele n. 123,Comune,Pubblica,,False
20,IT-AG0028,Biblioteca popolare parrocchiale S. Giovanni,,"[37.6198182, 12.9665821]",,NON SPECIFICATA,NON SPECIFICATA,,
21,IT-AG0029,Istituzione Culturale Federico II,Comune di Menfi,"[37.598265, 12.96941]",Via C. Ognibene n. 4,Comune,Importante non specializzata,,False
22,IT-AG0030,Biblioteca Comunale Antonio Gramsci,Comune di Montallegro,"[37.3890414, 13.3519453]",Viale della Vittoria 113,Comune,Pubblica,,False
23,IT-AG0031,Biblioteca Comunale Feliciana,Comune di Naro,"[37.2948287, 13.7951239]",Piazza Garibaldi - Palazzo Comunale,Comune,Importante non specializzata,,False
24,IT-AG0033,Biblioteca comunale,Comune di Realmonte,"[37.3059103, 13.4639758]",Via Cosenza,Comune,Pubblica,,False
25,IT-AG0034,Biblioteca comunale Vincenzo Navarro,Comune di Sambuca di Sicilia,"[37.647385, 13.111555]",Via P. Caruso,Comune,Importante non specializzata,,False
26,IT-AG0036,Biblioteca comunale,Comune di San Biagio Platani,"[37.5093493, 13.526349]",Corso Umberto 54,Comune,Pubblica,,False
27,IT-AG0037,Biblioteca Comunale,Comune di San Giovanni Gemini,"[37.6304656, 13.6498055]",Via Omero,Comune,Pubblica,,False
28,IT-AG0038,Biblioteca Comunale,Comune di Sant'Angelo Muxaro,"[37.4803233, 13.5461917]",Piazza Umberto I,Comune,Pubblica,,False
29,IT-AG0039,Biblioteca Comunale,Comune di Santa Margherita di Belice,"[37.6973237, 13.0113019]",Via Regione Siciliana n. 20,Comune,Pubblica,,False
30,IT-AG0040,Biblioteca comunale G. Ansalone,Comune di Santo Stefano Quisquina,"[37.623834, 13.4912204]",Via L. Panepinto,Comune,Pubblica,,False
31,IT-AG0041,Biblioteca del Collegio della congregazione del SS. Redentore,,"[37.5676311, 13.0587399]",Piazza Purgatorio 10,NON SPECIFICATA,NON SPECIFICATA,,
32,IT-AG0042,Biblioteca Comunale Tommaso Fazello,Comune di Sciacca,"[37.50703, 13.082185]",Via Roma n. 13,Comune,Importante non specializzata,,False
33,IT-AG0043,Biblioteca comunale Giuseppe Antonio Musso,Comune di Villafranca Sicula,"[37.5864134, 13.2906319]",Via Campi,Comune,Pubblica,,False
34,IT-AG0044,Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,Comune di Agrigento,"[37.3111882, 13.576956]",Presso Scuola elementare - Via S. Giuseppe,Comune,Pubblica,,False
35,IT-AG0045,Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta,Comune di Agrigento,"[37.298694, 13.563071]",Via XX settembre,Comune,Pubblica,,False
36,IT-AG0046,Biblioteca del Centro culturale Pirandello,,"[37.3096807, 13.5762527]",Via Dante 105,NON SPECIFICATA,NON SPECIFICATA,,
37,IT-AG0047,Biblioteca del Patronato ACLI,,"[37.3082862, 13.5826647]",Via Dinoloco 3,NON SPECIFICATA,NON SPECIFICATA,,
38,IT-AG0048,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura",,"[37.3111996, 13.5790995]",Piazza Gallo,NON SPECIFICATA,NON SPECIFICATA,,
39,IT-AG0049,Biblioteca di cinema e spettacolo Efebo d'Oro,,"[37.3098486, 13.5824546]",Via Empedocle 159,NON SPECIFICATA,NON SPECIFICATA,,
40,IT-AG0050,Biblioteca internazionale pirandelliana. Centro studi pirandelliani,,"[37.3108758, 13.578572]",Via S. Lucia 27,NON SPECIFICATA,NON SPECIFICATA,,True
41,IT-AG0051,Biblioteca Comunale Falcone - Borsellino,Comune di Alessandria della Rocca,"[37.5683954, 13.4556857]",Piazza Luigi Ingo n. 8,Comune,Pubblica,,False
42,IT-AG0052,Biblioteca popolare San Paolo della Croce. Convento dei padri passionisti,,"[37.5681904, 13.4543342]",Santuario Madonna della Rocca,NON SPECIFICATA,NON SPECIFICATA,,
43,IT-AG0053,Biblioteca comunale,Comune di Aragona,"[37.4044279, 13.6184829]",Via Palestrina,Comune,Pubblica,,False
44,IT-AG0054,Biblioteca comunale,,"[37.6009891, 13.2874447]",Via Nazionale 1,NON SPECIFICATA,NON SPECIFICATA,,
45,IT-AG0055,Biblioteca comunale,Comune di Calamonaci,"[37.5257432, 13.2911904]",Piazza municipio,NON SPECIFICATA,NON SPECIFICATA,,True
46,IT-AG0058,Biblioteca comunale,Comune di Canicatti',"[37.3585208, 13.8492245]",Via Cavallotti 9,Comune,Pubblica,,False
47,IT-AG0059,Biblioteca dell'Ospedale civile Barone Lombardo,,"[37.3597826, 13.8532322]",Via P. Micca,NON SPECIFICATA,NON SPECIFICATA,,
48,IT-AG0060,Biblioteca Comunale,Comune di Casteltermini,"[37.5405211, 13.6400753]",Via Roma 4,Comune,Pubblica,,False
49,IT-AG0061,Biblioteca popolare don Gerlando Re,,"[37.5208, 13.436335]",C/o Acli - Corso Comm. Cinquemani Arcuri,NON SPECIFICATA,NON SPECIFICATA,,
50,IT-AG0062,Biblioteca comunale,Comune di Lampedusa e Linosa,"[35.5027009, 12.6091837]",Presso Delegazione municipale,Comune,Pubblica,,True
51,IT-AG0064,Biblioteca comunale,Comune di Montevago,"[37.7026377, 12.9901325]",Piazza della Repubblica 7,Comune,Importante non specializzata,,False
52,IT-AG0065,Biblioteca Comunale Giovanni Falcone,Comune di Palma di Montechiaro,"[37.1895107, 13.7694488]",Via Carlo Marx n. 3,Comune,Importante non specializzata,,False
53,IT-AG0066,Biblioteca comunale,Comune di Porto Empedocle,"[37.2885843, 13.5280378]",Palazzo comunale - Via Roma,Comune,Pubblica,,False
54,IT-AG0067,Biblioteca comunale,Comune di Racalmuto,"[37.4069215, 13.7327047]",Via Messana,Comune,Pubblica,,False
55,IT-AG0068,Biblioteca popolare Virtus Matrice,Chiesa Madre di Racalmuto,"[37.40868, 13.732503]",Via della Repubblica 2,Enti ecclesiastici,Pubblica,,False
56,IT-AG0069,Biblioteca comunale,Comune di Raffadali,"[37.4097845, 13.5275723]",Via Nazionale,Comune,Pubblica,,False
57,IT-AG0070,Biblioteca comunale,Comune di Ravanusa,"[37.2679233, 13.9750838]",Corso della Repubblica,Comune,Pubblica,,False
58,IT-AG0071,Biblioteca comunale Antonio Gramsci,Comune di Ribera,"[37.5024753, 13.2659348]",Piazza Duomo,Comune,Pubblica,,False
59,IT-AG0072,Biblioteca comunale,Comune di Santa Elisabetta,"[37.431386, 13.558815]",Corso Umberto 45,Comune,Pubblica,,False
60,IT-AG0073,Biblioteca Belluno,,"[37.6866426, 13.0241726]",Via Pordenone 8,NON SPECIFICATA,NON SPECIFICATA,,
61,IT-AG0074,Biblioteca degli Ospedali civili riuniti,,"[37.506355, 13.0896534]",Via Figuli,NON SPECIFICATA,NON SPECIFICATA,,
62,IT-AG0075,Biblioteca comunale,,"[37.3929721, 13.3496118]",Piazza municipio,NON SPECIFICATA,NON SPECIFICATA,,
63,IT-AG0078,Biblioteca della Provincia regionale di Agrigento,Provincia di Agrigento,"[37.3095106, 13.5860526]",Piazzale A. Moro 3,Provincia,Specializzata,,False
64,IT-AG0079,Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle,Comune di Agrigento,"[37.3374874377752, 13.5837707552948]",Via Fontanelle 33  - presso Centro civico commerciale,Comune,Pubblica,,False
65,IT-AG0080,Biblioteca comunale Santo Spirito. Sezione esterna di Villaggio Mosè,Comune di Agrigento,"[37.2723212, 13.6270158]",Via Meli 1,Comune,Pubblica,,False
66,IT-AG0085,Biblioteca Lucchesiana,Deputazione dei canonici della biblioteca Lucchesiana,"[37.3135702, 13.577717]",Via Duomo 94,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Importante non specializzata,,False
67,IT-AG0087,Biblioteca dell'Opera Pia Villa Betania,Opera Pia Villa Betania,"[37.2966933, 13.5661325]",Via C. Marx 2,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,,False
68,IT-AG0089,Biblioteca Comunale L. Vitali,Comune di Licata,"[37.1011276, 13.9374357]",Piazza Progresso n. 10,Comune,Importante non specializzata,,False
69,IT-AG0090,Biblioteca comunale,Comune di Campobello di Licata,"[37.2560726, 13.9187469]",Via Sammarco 1,Comune,Pubblica,,False
70,IT-AG0091,Biblioteca Museo Luigi Pirandello,Regione siciliana,"[37.3124703, 13.5857746]",Via Imera 50,Regione,Specializzata,,False
71,IT-AG0092,Biblioteca della Comunità Cristiani nel mondo,,"[37.3510809, 13.750604]",Via Piersanti Mattorella 2,NON SPECIFICATA,NON SPECIFICATA,,False
72,IT-AG0093,Biblioteca della Fondazione Leonardo Sciascia,Fondazione Leonardo Sciascia,"[37.4059861, 13.7309295]","V.le della vittoria, 3 ","Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
73,IT-AG0094,Biblioteca Verba volant,"Ministero dell'istruzione, dell'università e della ricerca","[37.3089681, 13.5834971]",Via Acrone 23,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
74,IT-AG0095,Biblioteca dell'Istituto Comprensivo Anna Frank,"Ministero dell'istruzione, dell'università e della ricerca","[37.3208802, 13.5821441]","Via Matteo Cimarra, 5/a",Presidenza del consiglio dei ministri e ministeri,Scolastica,,
75,IT-AG0096,Biblioteca del Circolo didattico S.G. Bosco,,"[37.311634, 13.5705384]",Via Dante 258,NON SPECIFICATA,NON SPECIFICATA,,
76,IT-AG0097,Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo,"Ministero dell'istruzione, dell'università e della ricerca","[37.3211324, 13.5782564]",Via Regione siciliana,Presidenza del consiglio dei ministri e ministeri,Scolastica,,
77,IT-AG0098,Biblioteca Comunale,Comune di Camastra,"[37.2534645, 13.792158]",Via Vittorio Veneto,Comune,Pubblica,,False
78,IT-AG0099,Biblioteca della Fondazione Giovanni Guarino Amella,Fondazione Giovanni Guarino Amella,"[37.3586112, 13.8477121]",Contrada Montagna c.p. 1311,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,
79,IT-AG0134,Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo,Università degli studi di Palermo,"[37.3020872850997, 13.5929968772461]",Via Ugo La Malfa,Universita' statali,Istituto di insegnamento superiore,True,False
80,IT-AL0001,Biblioteca civica,Comune di Acqui Terme,"[44.6775182, 8.4670569]",Via Maggiorino Ferraris 15,Comune,Pubblica,,False
81,IT-AL0002,Biblioteca civica Francesca Calvo,Comune di Alessandria,"[44.9114484, 8.6193907]",Piazza Vittorio Veneto 1,Comune,Pubblica,,False
82,IT-AL0003,Biblioteca dell'Archivio di Stato di Alessandria,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Alessandria,"[44.9137392, 8.6259887]",Via Giorgio Solero 43,Direzione generale Archivi,Specializzata,,True
83,IT-AL0004,Biblioteca diocesana del Seminario vescovile,Seminario Diocesano,"[44.9169522, 8.6130294]","Via Inviziati, 1",Enti ecclesiastici,Importante non specializzata,False,False
84,IT-AL0005,Biblioteca militare del Presidio,Ministero della difesa,"[44.91564, 8.606235]",Piazza San Martino,Presidenza del consiglio dei ministri e ministeri,NON SPECIFICATA,,
85,IT-AL0006,"Biblioteca delle Societa' di storia, arte e archeologia per le province di Alessandria e Asti","Societa' di storia, arte e archeologia per le province di Alessandria e Asti","[44.9148321, 8.6186655]",Via Plana 42,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
86,IT-AL0007,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA","Camera di commercio, industria, artigianato e agricoltura - CCIAA di Alessandria","[44.9130405, 8.614091]",Via San Lorenzo 21,"Camere di commercio, industria, artigianato",Specializzata,,False
87,IT-AL0008,Biblioteca civica,Comune di Alfiano Natta,"[45.0470654, 8.2085733]",Via Roma 6,Comune,Pubblica,,False
88,IT-AL0009,Biblioteca civica,Comune di Alice Bel Colle,"[44.725691, 8.4511626]",Piazza Guacchione 1,Comune,Pubblica,,False
89,IT-AL0011,"Biblioteca civica ""Gaetano Poggi""",Comune di Arquata Scrivia,"[44.686673, 8.88599199999999]",Piazza S. Bertelli 19,Comune,Pubblica,,False
90,IT-AL0013,Biblioteca civica,Comune di Bassignana,"[45.003353, 8.73610699999995]",Via Cavour 6,Comune,Pubblica,,False
91,IT-AL0014,Biblioteca civica,Comune di Bistagno,"[44.6602097, 8.3699538]",Corso Carlo Testa 3,Comune,Pubblica,,False
92,IT-AL0015,Biblioteca civica,Comune di Borghetto di Borbera,"[44.7309963, 8.9452855]","Piazza Europa, 13",Comune,Pubblica,,False
93,IT-AL0016,Biblioteca civica Pio e Ildegarda Occella,Comune di Bosco Marengo,"[44.822143, 8.676652]",Via L. Verde,Comune,Pubblica,,False
94,IT-AL0017,Biblioteca civica,Comune di Bosio,"[44.6469431, 8.7911112]",Via Umberto I  50,Comune,Pubblica,,False
95,IT-AL0020,Biblioteca civica Ferrero,Comune di Carpeneto,"[44.5627149, 9.2176371]",Piazza Municipio 6,Comune,Pubblica,,False
96,IT-AL0021,Biblioteca civica Fedele Barco,Comune di Casal Cermelli,"[44.8351618, 8.6260029]",Piazza San Carlo 8,Comune,Pubblica,,False
97,IT-AL0023,Biblioteca dell'UNICEM,UNICEM,"[45.1263017, 8.4690695]",,NON SPECIFICATA,NON SPECIFICATA,,
98,IT-AL0024,Biblioteca del Seminario vescovile,"Fondazione ""Biblioteca del Seminario""","[45.1375546, 8.4546372]","Piazza Calabiana, 1",Enti ecclesiastici,Importante non specializzata,False,False
99,IT-AL0026,Biblioteca civica,Comune di Cassano Spinola,"[44.766162, 8.863507]",Piazza XXVI Aprile 8,Comune,Pubblica,,False
100,IT-AL0027,Biblioteca civica,Comune di Cassine,"[44.749645, 8.527466]",Via IV Marzo 13/a,Comune,Pubblica,,False
101,IT-AL0029,Biblioteca civica,Comune di Castellar Guidobono,"[44.90638, 8.94657]",Piazza San Tommaso 1,Comune,Pubblica,,False
102,IT-AL0030,Biblioteca civica Francesco Poggio,Comune di Castellazzo Bormida,"[44.845581, 8.577113]",Via XXV Aprile 44,Comune,Pubblica,,False
103,IT-AL0031,Biblioteca civica,Comune di Castelletto d'Orba,"[44.6703782, 8.7298766]",Piazza G. Marconi 1,Comune,Pubblica,,False
104,IT-AL0032,Biblioteca civica,Comune di Castelnuovo Bormida,"[44.746248, 8.551308]",Via Roma 42,Comune,Pubblica,,False
105,IT-AL0033,Biblioteca civica Pier Angelo Soldini,Comune di Castelnuovo Scrivia,"[44.9798479, 8.8810753]",Via G. Garibaldi 49,Comune,Pubblica,,False
106,IT-AL0034,Biblioteca civica,Comune di Castelspina,"[44.8042668, 8.5829296]",Piazza Boccasso 3,Comune,Pubblica,,False
107,IT-AL0036,Biblioteca civica,Comune di Cella Monte,"[45.0741078, 8.3918688]",Via Francia 12,Comune,Pubblica,,False
108,IT-AL0037,Biblioteca civica,Comune di Cereseto,"[45.0861082, 8.3168437]",Via Roma 32,Comune,Pubblica,,False
109,IT-AL0038,Biblioteca civica,Comune di Conzano,"[45.0208632, 8.454491]",Via C. Vidua 10,Comune,Pubblica,,False
110,IT-AL0039,Biblioteca civica,Comune di Frassineto Po,"[45.134055, 8.5360909]",Piazza del Municipio 6,Comune,Pubblica,,False
111,IT-AL0040,Biblioteca civica,Comune di Frugarolo,"[44.8379796, 8.6805468]",Via San Pio V,Comune,Pubblica,,False
112,IT-AL0041,Biblioteca civica,Comune di Fubine,"[44.96541, 8.4255838]",Via Pavaranza 2,Comune,Pubblica,,False
113,IT-AL0042,Biblioteca civica Giovanni Canna,Comune di Gabiano,"[45.1590286, 8.1935431]",Piazza Europa 4,Comune,Pubblica,,False
114,IT-AL0046,Biblioteca civica Giuseppe Boffito,Comune di Gavi,"[44.6889274, 8.8036272]",Via G. Garibaldi 44,Comune,Pubblica,,False
115,IT-AL0047,Biblioteca comunale,Comune di Giarole,"[45.0594224, 8.56782720000001]","Via Pasquarelli, 2",Comune,Pubblica,False,False
116,IT-AL0048,Biblioteca civica,Comune di Mirabello Monferrato,"[45.0357034, 8.5229468]",Piazza G. Marconi 17,Comune,Pubblica,,False
117,IT-AL0049,Biblioteca del Santuario di Nostra Signora delle Rocche,Passionisti. Santuario di Nostra Signora delle Rocche,"[44.600758, 8.5875915]",Santuario delle Rocche,Enti ecclesiastici,Specializzata,,True
118,IT-AL0050,Biblioteca civica,Comune di Molare,"[44.6196939, 8.5994867]",Via Raggi 25,Comune,Pubblica,,False
119,IT-AL0053,Biblioteca civica,Comune di Montaldo Bormida,"[44.6833554, 8.5888278]",Piazza Giovanni XXIII,Comune,Pubblica,True,False
120,IT-AL0054,Biblioteca civica,Comune di Montechiaro d'Acqui,"[44.5991038, 8.353051]",Via Nazionale 14,Comune,Pubblica,,False
121,IT-AL0055,Biblioteca civica Giuseppe Piotta,Comune di Morano sul Po,"[45.1637146, 8.3660303]",Via G. Marconi 1,Comune,Pubblica,,False
122,IT-AL0056,Biblioteca civica Rosanna Benzi,Comune di Morbello,"[44.6035985, 8.5102163]",Via Roma 1,Comune,Pubblica,,False
123,IT-AL0058,Biblioteca civica,Comune di Morsasco,"[44.6664808255252, 8.55155531139224]",Piazza Vittorio Emanuele II - presso il Castello,Comune,Pubblica,,False
124,IT-AL0059,Biblioteca civica,Comune di Murisengo,"[45.0835502, 8.1374019]",Piazza della Vittoria,Comune,Pubblica,,False
125,IT-AL0060,Biblioteca civica,Comune di Novi Ligure,"[44.7611125, 8.7829103]","Via G. Marconi, 66",Comune,Pubblica,,False
126,IT-AL0062,Biblioteca civica,Comune di Occimiano,"[45.0599293, 8.5068152]",Piazza Carlo Alberto 1,Comune,Pubblica,,False
127,IT-AL0063,Biblioteca civica,Comune di Odalengo Grande,"[45.1093802, 8.1666328]",Piazza S. Defendente 2,Comune,Pubblica,,False
128,IT-AL0067,Biblioteca civica,Comune di Ozzano Monferrato,"[45.1018158, 8.3764622]",Via S. Maria 1,Comune,Pubblica,,False
129,IT-AL0068,Biblioteca civica,Comune di Pareto,"[44.5138669, 8.3856667]",Via Mioglia 24,Comune,Pubblica,,False
130,IT-AL0070,Biblioteca civica Federico Ragni,Comune di Piovera,"[44.9593205, 8.7348802]",Piazza San Giovanni 5,Comune,Pubblica,,False
131,IT-AL0071,Biblioteca civica,Comune di Pontecurone,"[44.9604549, 8.9326546]",Piazza G. Matteotti 1,Comune,Pubblica,,False
132,IT-AL0072,Biblioteca civica,Comune di Pontestura,"[45.1434752, 8.333294]",Piazza Castello 20,Comune,Pubblica,,False
133,IT-AL0073,Biblioteca civica Tommaso e Angiolina Battaglia,Comune di Ponzone,"[44.5882327, 8.4586825]",Piazza Italia,Comune,Pubblica,,False
134,IT-AL0074,Biblioteca antica del Castello,Comune di Pozzolo Formigaro,"[44.7934548, 8.7815595]",Piazza Castello 1,Comune,Specializzata,,True
135,IT-AL0075,Biblioteca civica Caterina De Marco,Comune di Pozzolo Formigaro,"[44.7934548, 8.7815595]",Piazza Castello 1,Comune,Pubblica,,False
136,IT-AL0077,Biblioteca civica,Comune di Prasco,"[44.640893, 8.553234]",Via Roma 2,Comune,Pubblica,,False
137,IT-AL0078,Biblioteca civica A. Pesce,Comune di Predosa,"[44.7525854, 8.6583719]",Piazza G. Matteotti 8,Comune,Pubblica,,False
138,IT-AL0080,Biblioteca civica,Comune di Rivalta Bormida,"[44.7112345, 8.5504276]",Via Vittorio Emanuele II  2,Comune,Pubblica,,False
139,IT-AL0082,Biblioteca civica,Comune di Rocca Grimalda,"[44.671213, 8.6477403]",Piazza Vittorio Veneto 1,Comune,Pubblica,,False
140,IT-AL0084,Biblioteca civica,Comune di Sala Monferrato,"[45.0754056, 8.3581766]",Via Roma 1,Comune,Pubblica,,False
141,IT-AL0085,Biblioteca civica Alessandro Molinari,Comune di Sale,"[44.981598, 8.810068]",Via G. Bruno 13,Comune,Pubblica,,False
142,IT-AL0086,Biblioteca civica,Comune di San Giorgio Monferrato,"[45.1077481, 8.4144266]",Piazza della Chiesa 1,Comune,Pubblica,,False
143,IT-AL0087,"Biblioteca comunale ""Domenico Fava""",Comune di San Salvatore Monferrato,"[44.9945499886812, 8.567960777385]",Via Cavalli 2,Comune,Pubblica,,False
144,IT-AL0089,Biblioteca civica,Comune di Serravalle Scrivia,"[44.722731, 8.85785]",Piazza G. Carducci 2,Comune,Pubblica,,False
145,IT-AL0090,Biblioteca civica,Comune di Sezzadio,"[44.785671, 8.5721118]",Piazza Libertà 37,Comune,Pubblica,,False
146,IT-AL0091,Biblioteca civica,Comune di Solero,"[44.9195173, 8.5077366]",Via G. Marconi 1,Comune,Pubblica,,False
147,IT-AL0092,Biblioteca civica,Comune di Solonghello,"[45.1309507, 8.2816083]",Piazza Castello 1,Comune,Pubblica,,False
148,IT-AL0093,Biblioteca civica,Comune di Spigno Monferrato,"[44.5429699, 8.3351063]",Piazza G. Garibaldi 19,Comune,Pubblica,,False
149,IT-AL0094,Biblioteca civica,Comune di Stazzano,"[44.7269445, 8.867483]",Piazza Risorgimento 4,Comune,Pubblica,,False
150,IT-AL0095,Biblioteca civica,Comune di Strevi,"[44.698461, 8.5222165]",Piazza G. Matteotti 8,Comune,Pubblica,,False
151,IT-AL0098,Biblioteca civica,Comune di Terzo,"[44.6696219, 8.4209876]",Via Gallaretto 11,Comune,Pubblica,,False
152,IT-AL0099,Biblioteca civica,Comune di Ticineto,"[45.09608, 8.55517]",Via Vittorio Veneto 10,Comune,Pubblica,,False
153,IT-AL0100,Biblioteca civica,Comune di Tortona,"[44.898288, 8.8680629]",Via Ammiraglio Mirabello 1,Comune,Pubblica,,False
154,IT-AL0101,Biblioteca del Seminario diocesano,Seminario Diocesano di Tortona,"[44.8976286, 8.8664597]","Via Seminario , 7",Enti ecclesiastici,Specializzata,True,False
155,IT-AL0102,Biblioteca civica,Comune di Treville,"[45.097273, 8.359639]",Via Roma 17,Comune,Pubblica,,False
156,IT-AL0104,Biblioteca civica,Comune di Valenza,"[45.012268, 8.6441846]",Piazza XXXI Martiri 1,Comune,Pubblica,False,False
157,IT-AL0105,Biblioteca civica,Comune di Valmacca,"[45.1001462, 8.5785915]",Via Ticineto,Comune,Pubblica,,False
158,IT-AL0106,Biblioteca civica,Comune di Vignole Borbera,"[44.7084832, 8.8905891]",Viale Vochieri 2,Comune,Pubblica,,False
159,IT-AL0107,Biblioteca civica,Comune di Villadeati,"[45.0708737, 8.1651713]",Piazza Martiri 6,Comune,Pubblica,,False
160,IT-AL0108,Biblioteca civica Giuseppe Demichelis,Comune di Villanova Monferrato,"[45.1820229, 8.4780347]",Via Alzona 13,Comune,Pubblica,,False
161,IT-AL0110,Biblioteca civica,Comune di Basaluzzo,"[44.7678912, 8.7087182]",Via S. Maria 1,Comune,Pubblica,,True
162,IT-AL0111,Biblioteca dei Salesiani Don Bosco,Salesiani. Collegio San Carlo di Borgo San Martino,"[45.0894811, 8.5237404]",Collegio San Carlo - Via Roma 1,Enti ecclesiastici,Specializzata,,False
163,IT-AL0112,Biblioteca civica,Comune di Cabella Ligure,"[44.6730016, 9.0966022]",Via Cavour,Comune,Pubblica,,False
164,IT-AL0113,Biblioteca civica,Comune di Brignano Frascata,"[44.8280475, 9.0061731]",Municipio,Comune,Pubblica,,False
165,IT-AL0114,Biblioteca civica Giovanni Canna,Comune di Casale Monferrato,"[45.1340432, 8.4522332]",Via Corte d'appello 12,Comune,Importante non specializzata,,False
166,IT-AL0118,Biblioteca civica,Comune di Castelletto Merli,"[45.068907, 8.241619]",Via Roma 17,Comune,Pubblica,,False
167,IT-AL0119,Biblioteca civica,Comune di Cerrina,"[45.120231, 8.2153425]",Piazza Martiri internati,Comune,Pubblica,,False
168,IT-AL0120,Biblioteca civica Elena Cavallero,Comune di Felizzano,"[44.897853, 8.4356672]",Piazza Ercole,Comune,Pubblica,,False
169,IT-AL0121,Centro di documentazione della Comunita' montana valli Curone Grue Ossona,Comunita' montana valli Curone Grue Ossona,"[44.7848854, 9.1475906]",,Comunita' montana,Specializzata,,False
170,IT-AL0122,Biblioteca civica,Comune di Fresonara,"[44.7815841, 8.6904218]",Via G. Marconi 69,Comune,Pubblica,,False
171,IT-AL0123,Biblioteca civica coniugi Maria ed Eraldo Ighina,Comune di Ovada,"[44.639405, 8.6457583]",Piazza Cereseto 7,Comune,Pubblica,,False
