,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
13558,IT-RM1215,Biblioteca del Convento dei padri cappuccini,Frati minori cappuccini. Convento di Monterotondo,"[0.0, 0.0]",Piazza S. Francesco 1,Enti ecclesiastici,Specializzata,,True
13559,IT-RM1216,Biblioteca dell'Istituto sperimentale per la meccanizzazione agricola,Istituto sperimentale per la meccanizzazione agricola,"[42.0899702, 12.6756963]",Via della Pascolare 16,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13560,IT-RM1217,Centro di documentazione dell'ufficio per l'Italia del Parlamento europeo,Unione europea. Parlamento europeo. Ufficio per l'Italia,"[41.896757, 12.485371]",Via IV novembre 149,Organizzazioni internazionali,Specializzata,,False
13561,IT-RM1218,Biblioteca comunale Ugo Tognazzi,Comune di Pomezia,"[41.6701203236563, 12.5009214526398]",Largo Catone snc,Comune,Pubblica,,False
13562,IT-RM1219,Biblioteca comunale Paolo Angelani,Comune di Monterotondo,"[42.0510576, 12.6146208]",Piazza don Minzoni,Comune,Pubblica,True,False
13563,IT-RM1224,Biblioteca dell'Istituto di studi sulle regioni del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di studi sulle regioni,"[41.9164377, 12.4694462]",Lungotevere delle armi 22,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13564,IT-RM1225,Biblioteca dell'Istituto centrale per il restauro e la conservazione del patrimonio archivistico e librario,Ministero dei beni e delle attività culturali e del turismo. Istituto centrale per il restauro e la conservazione del patrimonio archivistico e librario,"[41.8968525, 12.4926508]",Via Milano 76,Istituti centrali,Specializzata,,True
13565,IT-RM1226,Biblioteca della LIPU,Lega italiana protezione uccelli,"[41.9167673, 12.4548311]",Piazzale Clodio 13,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
13566,IT-RM1227,Biblioteca Bristol-Myers Squibb,Bristol-Myers Squibb,"[41.8299837, 12.4944805]",Via P. Di Dono 73,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,True
13567,IT-RM1228,Biblioteca dell'Ateneo Regina apostolorum,Legionari di Cristo. Ateneo Regina apostolorum,"[41.8884592, 12.4210075]",Via Aurelia antica 460,Enti ecclesiastici,Specializzata,,True
13568,IT-RM1229,Biblioteca di area di scienze economiche. Università degli studi Roma Tre,Università degli studi di Roma Tre. Area economica,"[41.8514778, 12.4790915]","Via Silvio d'Amico, 77 ",Universita' statali,Istituto di insegnamento superiore,True,False
13569,IT-RM1230,Biblioteca di area scientifico tecnologica. Sede Centrale. Università degli studi Roma Tre ,Università degli studi di Roma Tre. Area scientifico tecnologica,"[41.8558232, 12.468769]",Via della Vasca navale 79/81,Universita' statali,Istituto di insegnamento superiore,,False
13570,IT-RM1231,Biblioteca dell'Istituto di tecnologie biomediche del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di tecnologie biomediche,"[41.9097991, 12.510759]",Via G. B. Morgagni 30/E,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13571,IT-RM1232,Biblioteca del Museo nazionale d'arte orientale Giuseppe Tucci,Ministero dei beni e delle attività culturali e del turismo. Museo delle civiltà,"[41.894346148561, 12.500577909787]",Via Merulana 247,Direzione generale Musei,Specializzata,,False
13572,IT-RM1233,Biblioteca della Città Metropolitana di Roma Capitale,Provincia di Roma,"[41.8914179, 12.507999]",Viale Manzoni 47,Provincia,Specializzata,,False
13573,IT-RM1234,Biblioteca della Escuela española de historia y arqueologia,Escuela española de historia y arqueologia en Roma,"[41.8964529, 12.4763842]",Via di Torre Argentina 18,Istituzioni straniere,Specializzata,,True
13574,IT-RM1235,Biblioteca dell'Istituto di medicina sperimentale del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di medicina sperimentale,"[41.9357428, 12.5547469]",Viale K. Marx 15,Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13575,IT-RM1236,"Biblioteca del Dipartimento di scienze storiche, archeologiche e antropologiche dell'antichità. Sezione di archeologia cristiana dell'Università degli studi di Roma La Sapienza",Università degli studi di Roma La Sapienza. Dipartimento di scienze storiche archeologiche e antropologiche dell'antichità,"[41.9017582, 12.5120975]",Piazzale A. Moro 5,Universita' statali,Istituto di insegnamento superiore,,False
13576,IT-RM1237,Biblioteca dell'Istituto di tecnologie applicate ai beni culturali del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di tecnologie applicate ai beni culturali,"[42.1354, 12.73812]","Via Salaria Km. 29,300",Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13577,IT-RM1238,Biblioteca dell'Istituto di metodologie avanzate inorganiche del Consiglio nazionale delle ricerche,Consiglio nazionale delle ricerche. Istituto di metodologie avanzate inorganiche,"[42.1354, 12.73812]","Via Salaria Km. 29,300",Aziende ed amministrazioni dello stato ad ordinamento autonomo,Specializzata,,True
13578,IT-RM1239,Biblioteca della Fondazione Giuseppe Di Vittorio,Fondazione Giuseppe Di Vittorio,"[41.9169520637634, 12.4948106325409]",Via G. Donizetti 7/b,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
13579,IT-RM1241,Biblioteca della Fondazione Luigi Einaudi per studi di politica ed economia,Fondazione Luigi Einaudi per studi di politica ed economia,"[41.899069, 12.464807]",Largo dei Fiorentini 1,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13580,IT-RM1242,Biblioteca del Centro studi di politica internazionale,Centro studi di politica internazionale,"[41.8947987, 12.4803483]",Via d'Aracoeli 11,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13581,IT-RM1243,Biblioteca dell'Istituto per la storia dell'Azione cattolica e del movimento cattolico in Italia Paolo VI,Fondazione Istituto per la storia dell'Azione cattolica e del movimento cattolico in Italia Paolo VI,"[41.8984488, 12.4249733]","Via Aurelia, 481",Enti ecclesiastici,Specializzata,True,False
13582,IT-RM1244,"Biblioteca di chimica ""G. Illuminati"" dell'Università degli studi di Roma La Sapienza",Università degli studi di Roma La Sapienza. Dipartimento di chimica,"[41.9017830969061, 12.5164314534424]",Piazzale A. Moro 5,Universita' statali,Istituto di insegnamento superiore,True,False
13583,IT-RM1245,Biblioteca dell'Associazione Italia - Cina,,"[41.8970269, 12.4800778]","Piazza Grazioli, 18",NON SPECIFICATA,NON SPECIFICATA,,
13584,IT-RM1247,Biblioteca del Centro studi e iniziative per la riforma dello Stato,Centro studi e iniziative per la riforma dello Stato,"[41.8948583, 12.4802747]",Via d'Aracoeli 13,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13585,IT-RM1248,Biblioteca della Fondazione Pietro Nenni,Fondazione Pietro Nenni,"[41.9278879, 12.488707]",Via Caroncini 19,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13586,IT-RM1249,Biblioteca dell'Accademia di studi storici Aldo Moro,Accademia di studi storici Aldo Moro,"[41.9188675, 12.4655096]",Via Monte Zebio  32,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
13587,IT-RM1250,"Biblioteca di ingegneria civile, edile e ambientale dell'Università degli studi di Roma La Sapienza","Dipartimento ingegneria civile, edile, ambientale. Univeristà La Sapienza","[41.89312, 12.4928853]",Via Eudossiana 18,Universita' statali,Istituto di insegnamento superiore,True,False
13588,IT-RM1251,Biblioteca della Fondazione Giuseppe Emanuele e Vera Modigliani,Fondazione Giuseppe Emanuele e Vera Modigliani - ESSMOI,"[41.894374, 12.4734034]",Via dell'Arco del Monte 99/A,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
