codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-FI0432;Biblioteca dell'Istituto sperimentale per la selvicoltura. Sezione staccata di Firenze;Istituto sperimentale per la selvicoltura;Via delle Cascine 1;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Firenze;148;43,7843198;11,2231417
IT-FI0433;Biblioteca della Scuola di guerra aerea. Scuola applicazione aeronautica militare;Ministero della difesa;Viale dell'Aeronautica 14;Presidenza del consiglio dei ministri e ministeri;Specializzata;;True;Firenze;149;43,7858658;11,2129308
IT-FI0435;Biblioteca del Dopolavoro dei postelegrafonici;Dopolavoro dei postelegrafonici;Via Pellicceria 3;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Pubblica;;True;Firenze;150;43,770003;11,253538
IT-FI0436;Biblioteca del Monastero olivetano dei SS. Giuseppe e Benedetto;Benedettini olivetani. Monastero dei SS. Giuseppe e Benedetto;Via Feliceto 8;Enti ecclesiastici;Specializzata;;True;Firenze;151;43,7839031;11,3193274
IT-FI0438;Biblioteca della Chiesa evangelica valdese;Chiesa evangelica valdese. Comunità di Firenze;Via Manzoni 21;Enti ecclesiastici;Specializzata;;True;Firenze;152;43,7722948;11,2696543
IT-FI0439;Biblioteca della Chiesa luterana;Chiesa luterana. Comunità di Firenze;Via dei Bardi 20;Enti ecclesiastici;Specializzata;;True;Firenze;153;43,7654993;11,2566913
IT-FI0440;Biblioteca della Chiesa russa ortodossa;Chiesa russa ortodossa. Comunità di Firenze;Via Leone X  8;Enti ecclesiastici;Specializzata;;False;Firenze;154;43,7838903;11,2544994
IT-FI0441;Biblioteca della S. Chiesa ortodossa d'Italia;S. Chiesa ortodossa d'Italia. Comunità di Firenze;Via Casentino 27;Enti ecclesiastici;Specializzata;;True;Firenze;155;43,7966528;11,2177711
IT-FI0442;Biblioteca Silvano Piovanelli;Facoltà Teologica dell'Italia Centrale;Viale Ludovico Ariosto, 13;Enti ecclesiastici;Specializzata;True;False;Firenze;156;43,8088496;11,2547883
IT-FI0445;Biblioteca dell'Accademia italiana di stenografia e dattilografia G. Aliprandi;Accademia italiana di stenografia e dattilografia G. Aliprandi;Piazza Duomo 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;157;43,7734623;11,2557285
IT-FI0446;Biblioteca della Fondazione Giorgio Ronchi;Fondazione Giorgio Ronchi;Via S. Felice a Ema 20;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;158;43,7468221;11,2396628
IT-FI0447;Biblioteca della Fondazione scienza e tecnica;Fondazione scienza e tecnica;Via Giusti 27;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;159;43,776858;11,2646945
IT-FI0448;Biblioteca della Fondazione scienza per l'ambiente;Fondazione scienza per l'ambiente;Viale Galileo 32;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;160;43,7543645;11,2544779
IT-FI0449;Biblioteca dell'Archivio contemporaneo Alessandro Bonsanti;Gabinetto scientifico-letterario Giovan Pietro Vieusseux;Via Maggio 42;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;161;43,766848;11,248809
IT-FI0451;Biblioteca dell'Istituto di psicosintesi;Istituto di psicosintesi;Via S. Domenico 16;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;162;43,788242;11,2856497
IT-FI0453;Biblioteca dell'Istituto di studi politici Renato Branzi;Istituto di studi politici Renato Branzi;Via La Pira 17;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;163;43,7796802;11,2608001
IT-FI0454;Biblioteca dell'Istituto Gramsci toscano;Istituto Gramsci toscano;Via G. Orsini 44;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;164;43,763363;11,2778195
IT-FI0455;Biblioteca della Fondazione mediateca regionale toscana;Fondazione mediateca regionale toscana;Via Lungarno A. Moro 4;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;165;43,7672007;11,2948719
IT-FI0458;Biblioteca della Florida State University;Florida State University of Tallahasse;Borgo Albizi 15;Universita' non statali;Istituto di insegnamento superiore;;True;Firenze;166;43,7714774;11,2618339
IT-FI0459;Biblioteca della Fondazione di Villa Romana;Fondazione di Villa Romana;Via Senese 68;Istituzioni straniere;Specializzata;;True;Firenze;167;43,7558;11,239896
IT-FI0460;Biblioteca della Syracuse University. Semester in Italy;Syracuse University. Semester in Italy;Via Della Robbia 99;Universita' non statali;Istituto di insegnamento superiore;;True;Firenze;168;43,7799792;11,2680821
IT-FI0461;Biblioteca dello Studio Art Center International. SACI;Studio Art Center International;Via S. Gallo 30;Universita' non statali;Istituto di insegnamento superiore;;True;Firenze;169;43,7788624;11,2575193
IT-FI0462;Biblioteca Gonzaga in Florence;Gonzaga University;Piazza Antinori 3;Universita' non statali;Istituto di insegnamento superiore;;True;Firenze;170;43,772709;11,25136
IT-FI0463;Biblioteca dell'Associazione amici dei musei fiorentini;Associazione amici dei musei fiorentini;Via degli Alfani 39;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;171;43,774666;11,261554
IT-FI0464;Biblioteca del Centro di esercitazioni ai metodi per l'educazione attiva;Centro di esercitazione ai metodi per l'educazione attiva. CEMEA;Via S. Salvi 12;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;172;43,77053;11,285435
IT-FI0465;Biblioteca del WWF;World Wildlife Fund;Via S. Anna 3;Organizzazioni internazionali;Specializzata;;False;Firenze;173;43,781276;11,2604927
IT-FI0466;Biblioteca dell'Associazione Italia-Cina;Associazione Italia-Cina;Via S. Gallo 15;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;174;43,7778282;11,2567043
IT-FI0467;Biblioteca dell'Associazione Italia-Cuba;Associazione Italia-Cuba;Viale Giannotti 13, presso Circolo Vie Nuove;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Firenze;175;43,762058;11,283258
IT-FI0468;Biblioteca dell'Associazione Italia-Russia;Associazione Italia-Russia;Via di Capaccio 1;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Firenze;176;43,7697024;11,2539365
IT-FI0470;Biblioteca di Italia nostra;Italia nostra;Viale Gramsci 9/A;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Firenze;177;43,7720445;11,2707852999999
IT-FI0471;Biblioteca popolare Le Cure;Cooperativa Gustavo Console;Via L. La Vista 5;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;False;Firenze;178;43,7869632;11,2679412
IT-FI0472;Biblioteca del Nuovo Pignone;Nuovo Pignone SpA;Via F. Matteucci 2;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Firenze;179;43,8011822;11,2249177
IT-FI0474;Biblioteca delle Industrie farmaceutiche riunite Menarini;Industrie farmaceutiche riunite Menarini;Via Sette Santi 3;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Firenze;180;43,7803044;11,276527
