codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-TO0801;Biblioteca dell'Archivio arcivescovile;Curia arcivescovile di Torino;Via dell'Arcivescovado 12;Enti ecclesiastici;Specializzata;;False;Torino;127;45,0671509;7,677882
IT-TO0802;Biblioteca del centro di documentazione dell'ISVOR-FIAT;ISVOR FIAT;Corso Dante 103;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;True;Torino;128;45,0459646;7,6807149
IT-TO0803;Biblioteca del Centro internazionale di studi Luigi Sturzo. Sezione piemontese;Centro internazionale di studi sturziani - CISS. Sezione piemontese;Via Santa Maria 6;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;Torino;129;45,072078;7,6777815
IT-TO0811;Biblioteca del Collegio universitario Renato Einaudi. Sezione esterna;Collegio universitario Renato Einaudi;Via Bobbio 9;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;Torino;130;45,058157;7,6540744
IT-TO0813;Biblioteca dell'Ente sviluppo agricolo del Piemonte;Ente sviluppo agricolo del Piemonte - ESAP;Via Petrarca 44;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Torino;131;45,0474953;7,6822027
IT-TO0814;Biblioteca del Museo universale della stampa;Associazione degli amici del Museo universale della stampa;Via dell'Ospedale 45;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;True;Torino;132;45,0678435;7,5139853
IT-TO0815;Biblioteca scientifica dell'Istituto chirurgico ortopedico Regina Maria Adelaide;USSL 7 Torino;Lungo Dora Firenze 87;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;Torino;133;45,0750106;7,6931308
IT-TO0816;Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Torino. Storia dell'arte;Ministero dei beni e delle attività culturali e del turismo. Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Torino;Via Accademia delle scienze 5;Direzione generale archeologia, belle arti e paesaggio;Specializzata;;False;Torino;134;45,0691432555782;7,68508147857358
IT-TO0818;Biblioteca dell'Istituto di cosmo-geofisica;Consiglio nazionale delle ricerche. Istituto di cosmogeofisica;Corso Fiume 4;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Torino;135;45,0572404;7,6936934
IT-TO0819;Biblioteca dell'Istituto di ricerca sull'impresa e lo sviluppo - CERIS;Consiglio nazionale delle ricerche. Istituto di ricerca sull'impresa e lo sviluppo;Via A. Avogadro 8;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Specializzata;;True;Torino;136;45,0670413;7,6698951
