CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
12785;0;Via G. Granieri (S. Paolo), I/6;LOZUPONE DR.SSA ROSA M.A.;4417560721;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via G. Granieri (S. Paolo), I/6, 70123, BARI;70123;16.846912634000034;41.13217000000003
12786;0;Strada  S. Girolamo, 45/A;S. GIROLAMO DI MAURIZIO BAGNULO;5848770722;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1372289;16.8149867;1;Strada  S. Girolamo, 45/A, 70123, BARI;Strada San Girolamo 45A, 70132, Bari;16.815260427809065;41.13713332168613
12789;0;Viale Japigia, 166 E/F;JAPIGIA;6191690723;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Viale Japigia, 166 E/F, 70126, BARI;Viale Japigia 166E, 70126, Bari;16.896916576605683;41.113663406890154
12790;0;Via Antonio Lucarelli, 60;CATUCCI MARGHERITA;3395700721;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0931674638;16.8633284091;1;Via Antonio Lucarelli, 60, 70124, BARI;Via Antonio Lucarelli 60, 70124, Bari;16.8600285;41.093176528420756
12793;0;Via Natale Loiacono, 15;ARMENISE AGNESE;6390640727;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2010;-;Ordinaria;1;41.1053240076;16.9106727479;1;Via Natale Loiacono, 15, 70126, BARI;Via Natale Loiacono 15, 70126, Bari;16.90926734831786;41.10356203358531
12794;0;Via Alberotanza, 23;VALENTINI ESTER;3795080724;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0960442547;16.8777985064;1;Via Alberotanza, 23, 70125, BARI;Via Alberotanza 23, 70125, Bari;16.872750031363605;41.09578455785113
12797;0;Via Caldarola, 30 bis;FABBRONI GIANLUCA;4054860723;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1005104;16.91446015;1;Via Caldarola, 30 bis, 70126, BARI;Via Caldarola 30, 70126, Bari;16.89781810075591;41.10702918096826
12798;0;Via Pacifico Mazzoni, 13/a;D'ALESIO MARILENA;6486450726;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1263615556;16.800965264;1;Via Pacifico Mazzoni, 13/a, 70123, BARI;Via Pacifico Mazzoni 13A, 70132, Bari;16.801704418546915;41.12659521397666
12799;0;Via Appulo, 2/b;BUFI FRANCESCO PAOLO;4594360721;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Appulo, 2/b, 70126, BARI;Via Guglielmo Appulo 2B, 70126, Bari;16.90036565502903;41.104136253390344
18007;0;Via Quasimodo, 39;LOZUPONE VITTORIO;6453060722;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2010;-;Ordinaria;1;40.9620215664;16.9348827808;1;Via Quasimodo, 39, 70126, BARI;Via Salvatore Quasimodo 39, 70126, Bari;16.91950639246343;41.10633498750651
18353;0;Via Roccaporena;Dispensario Falagario;824870729;70010;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Dispensario;3;41.069064441;16.8575617504;1;Via Roccaporena, 70010, BARI;Via Roccaporena, 70129, Bari;16.857551231044482;41.06905677861315
19180;0;Via Natale Pisicchio, 18/A;ARLARO SNC DI ANGELA PIZZI, ROSALBA MANIGRASSO, ARIANNA GIOVINE;7883140720;70127;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1463056;16.7408894;1;Via Natale Pisicchio, 18/A, 70127, BARI;Via Natale Pisicchio 18A, 70127, Bari;16.7409604711179;41.14637093617628
