CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;orig_lat;orig_long;LOCALIZE;indirizzo_query;arcGIS_response;Long;Lat
12703;0;Corso Benedetto Croce, 203;CROCE BIANCADEI DR.I FILIPPO E FRANCESCA VIOLA ANGELINI;265500728;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1966039694;16.587487553;1;Corso Benedetto Croce, 203, 70124, BARI;Corso Benedetto Croce 203, 70125, Bari;16.871903188037408;41.10937451457096
12704;0;Viale Puglia, 8;SCAROLA EDMONDO;409200722;70123;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1201874991;16.7959502858;1;Viale Puglia, 8, 70123, BARI;Viale Puglia 8, 70132, Bari;16.79808763529351;41.12244121510184
12705;0;Piazza Umberto I, 88;LOIACONO ANTONIO;6585010728;70012;72006;BARI;CARBONARA DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1213945769;16.8698445497;1;Piazza Umberto I, 88, 70012, BARI;Piazza Umberto I 88, 70131, Bari;16.871208024150253;41.073757543712844
12706;0;Piazza Umberto I, 22;PESOLA MARCELLA;5934810721;70012;72006;BARI;CARBONARA DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1213945769;16.8698445497;1;Piazza Umberto I, 22, 70012, BARI;Piazza Umberto I 22, 70121, Bari;16.870622473368254;41.12128255176293
12708;0;Via Crimea, 2;FALAGARIO GIUSEPPE;824870729;70010;72006;BARI;CEGLIE DEL CAMPO DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0657878;16.8671159;1;Via Crimea, 2, 70010, BARI;Vico Crimea 2, 70129, Bari;16.867102088763144;41.06568385926088
12709;0;Via Umberto Minervini, 27;PRIORE DI CRISTIANI ANNAMARIA;5335920723;70129;72006;BARI;LOSETO;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Umberto Minervini, 27, 70129, BARI;Via Umberto Minervini 27, 70129, Bari;16.851431881210686;41.04260723397195
12710;0;Piazza A.G. Pugliese, 52;SPADA ANTONIA;1273520724;70125;72006;BARI;Mungivacca;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0920407;16.8904164;1;Piazza A.G. Pugliese, 52, 70125, BARI;Via Giuseppe Pugliese 52, 70020, Bitetto, Bari;16.749561864795396;41.03971886349884
12711;0;Via Giovanni Valle, 21;BELLOCCHI MARIO;1706330733;70057;72006;BARI;PALESE DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via Giovanni Valle, 21, 70057, BARI;Via Generale Giovanni Valle 21, 70128, Bari;16.762580674995654;41.151579820705166
12712;0;Via Napoli, 68/a;GALA ANNA;2511910727;70050;72006;BARI;SANTO SPIRITO DI BARI;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1342641;16.5431135;1;Via Napoli, 68/a, 70050, BARI;Via Napoli 68A, 70123, Bari;16.861318994171626;41.12671751457094
12713;0;Via Valle e Giglioli, 19 CD;COLELLA FRANCO;5493200728;70045;72006;BARI;TORRE A MARE;72;BA;BARI;160;PUGLIA;01/09/2010;-;Ordinaria;1;41.1256631;16.8619381;1;Via Valle e Giglioli, 19 CD, 70045, BARI;Via Generale Giovanni Valle 19, 70128, Bari;16.762592142247076;41.151643711350914
12749;0;Via Robert Kennedy, 1/c;POTENZA PATRIZIA;6805010722;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1005301132;16.8592528265;1;Via Robert Kennedy, 1/c, 70124, BARI;Via Robert Francis Kennedy 1C, 70124, Bari;16.859163117260103;41.10106173105777
12750;0;Via Giuseppe Fanelli, 213;SOLAZZO SNC;264260720;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/03/2013;-;Ordinaria;1;41.0952235715;16.8824085799;1;Via Giuseppe Fanelli, 213, 70125, BARI;Via Giuseppe Fanelli 213, 70125, Bari;16.878667018177627;41.10521156924807
12751;0;Via Bruno Buozzi, 27/C;FARMACIE CATALANO - DE LEONARDIS SNC;7218200728;70132;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.2311406939;16.312378844;1;Via Bruno Buozzi, 27/C, 70132, BARI;Via Bruno Buozzi 27C, 70132, Bari;16.83916777837729;41.11724030474925
12752;0;Corso Benedetto Croce, 85;MANCINI GIOVANNI;5151400727;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/03/2013;-;Ordinaria;1;41.0688891798;16.934531053;1;Corso Benedetto Croce, 85, 70124, BARI;Corso Benedetto Croce 85, 70124, Bari;16.872087580883264;41.112603864214535
12753;0;Viale Pio XII, 48/c;CAVALLO SNC DEI DR.I CAVALLO ELISABETTA E LOGRANO ANTONIO DIEGO;7130670727;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0493257;16.9169627;1;Viale Pio XII, 48/c, 70124, BARI;Via Pio XII 48, 70037, Ruvo di Puglia, Bari;16.485384719400997;41.12227050874259
12754;0;Via Nicola Garrone, 31;Farmacia Dr. Nicola Ludovico S.n.c.;7426930728;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/03/2018;-;Ordinaria;1;41.1084398742;16.8648754379;1;Via Nicola Garrone, 31, 70124, BARI;Via Nicola Garrone 31, 70124, Bari;16.865026665127914;41.10803822952855
12755;0;Viale J.F. Kennedy, 75/D;DE CRISTO NICOLA;271530727;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1320725689;16.5413214766;1;Viale J.F. Kennedy, 75/D, 70124, BARI;Viale John Fitzgerald Kennedy 75D, 70124, Bari;16.866547426135647;41.1009714893242
12756;0;Via Salapia, 2;DE MARCO VINCENZO S.N.C.;5029770723;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.110168429;16.8948153261;1;Via Salapia, 2, 70126, BARI;Via Salapia 2, 70126, Bari;16.895680228980286;41.111378800998324
12757;0;Via Orazio Flacco, 11/A;ROSUCCI QUINTINA;4098760723;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0595296606;16.9238715606;1;Via Orazio Flacco, 11/A, 70124, BARI;Viale Quinto Orazio Flacco 11A, 70124, Bari;16.860686302787354;41.109581545386284
12758;0;Via Francesco Campione, 50;MOREA SNC;5375530721;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/09/2010;-;Ordinaria;1;41.1127902147;16.8656591501;1;Via Francesco Campione, 50, 70124, BARI;Via Francesco Campione 50, 70124, Bari;16.866821219632158;41.113085029690176
12759;0;Via Aristosseno, 3;DEL PONTE SNC DI PANSINI MARIA E INTERESSE VALERIA;7734770725;70126;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1148883;16.8872388;1;Via Aristosseno, 3, 70126, BARI;Via Aristosseno 3, 70126, Bari;16.887326510964268;41.11498232139766
12760;0;Via Re David, 184/A;CAPEZZUTO & C. S.N.C.;5321370727;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1114464;16.8765901;1;Via Re David, 184/A, 70125, BARI;Via Giuseppe Re David 184A, 70125, Bari;16.876484266172284;41.111475066333895
12761;0;Via Giulio Petroni, 69/b;MACARIO MARIA LUISA;3517580720;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.0897321;16.86584805;1;Via Giulio Petroni, 69/b, 70124, BARI;Via Giulio Petroni 69B, 70124, Bari;16.867672585896496;41.10822992200934
12762;0;Via grimoaldo degli Alfaraniti, 8-10;BRESCIA DOMENICANTONIO;6498930723;70124;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/07/2017;-;Ordinaria;1;41.1256631;16.8619381;1;Via grimoaldo degli Alfaraniti, 8-10, 70124, BARI;Via Grimoaldo degli Alfaraniti 8, 70124, Bari;16.867401595475798;41.103159401610014
12763;0;Viale Unita` D`italia, 75;Farmacia Del Viale Del Dottor Francavilla Giuseppe;8091630726;70125;72006;BARI;-;72;BA;BARI;160;PUGLIA;01/03/2018;-;Ordinaria;1;41.0388331428;16.9936901108;1;Viale Unita` D`italia, 75, 70125, BARI;Viale Unità d'Italia 75, 70125, Bari;16.873340453921216;41.113940699694155
