route_id;route_type;stop_id;stop_name;stop_desc;Lat;Long;wheelchair_boarding;IDquartiere;SEZ2011;stopCode
S04U;3;1074;CASTELLO DI MIRAFIORI;C.UNIONE SOVIETICA / STR DEL DROSSO;45.01356;7.624619999999999;1;23;12720002642;1074_S04U
39U;3;1076;PLAVA;C.UNIONE SOVIETICA DOPO V. PLAVA;45.01587;7.62718;1;23;12720003066;1076_39U
41U;3;1076;PLAVA;C.UNIONE SOVIETICA DOPO V. PLAVA;45.01587;7.62718;1;23;12720003066;1076_41U
S04U;3;1076;PLAVA;C.UNIONE SOVIETICA DOPO V. PLAVA;45.01587;7.62718;1;23;12720003066;1076_S04U
39U;3;1080;IMPERIA;C.UNIONE SOVIETICA DOPO P.LE C.MARIO;45.022690000000004;7.634060000000001;1;23;12720002634;1080_39U
41U;3;1080;IMPERIA;C.UNIONE SOVIETICA DOPO P.LE C.MARIO;45.022690000000004;7.634060000000001;1;23;12720002634;1080_41U
63BU;3;1080;IMPERIA;C.UNIONE SOVIETICA DOPO P.LE C.MARIO;45.022690000000004;7.634060000000001;1;23;12720002634;1080_63BU
S04U;3;1080;IMPERIA;C.UNIONE SOVIETICA DOPO P.LE C.MARIO;45.022690000000004;7.634060000000001;1;23;12720002634;1080_S04U
40U;3;1009;SIRACUSA;C.TAZZOLI CANCELLO 1;45.03266;7.63317;2;23;12720002354;1009_40U
62U;3;1009;SIRACUSA;C.TAZZOLI CANCELLO 1;45.03266;7.63317;2;23;12720002354;1009_62U
40U;3;1014;CAIO MARIO EST;V.O.VIGLIANI N.6;45.02213;7.63657;2;23;12720002778;1014_40U
40U;3;1016;CROCE;V.O.VIGLIANI FRONTE C.B.CROCE;45.01818;7.643839999999999;1;23;12720003096;1016_40U
40U;3;1018;ARTOM;V.O.VIGLIANI / V.ARTOM;45.01741;7.64733;1;23;12720003096;1018_40U
40U;3;1853;MASSAUA SUD;V DE SANCTIS / P.MASSAUA;45.07352;7.619489999999999;1;13;12720002056;1853_40U
62U;3;1853;MASSAUA SUD;V DE SANCTIS / P.MASSAUA;45.07352;7.619489999999999;1;13;12720002056;1853_62U
VE1U;3;1853;MASSAUA SUD;V DE SANCTIS / P.MASSAUA;45.07352;7.619489999999999;1;13;12720002056;1853_VE1U
40U;3;1856;CHAMBERY;V DE SANCTIS N.65;45.06958;7.6192899999999995;1;13;12720003426;1856_40U
62U;3;1856;CHAMBERY;V DE SANCTIS N.65;45.06958;7.6192899999999995;1;13;12720003426;1856_62U
40U;3;1858;PRONDA;V DE SANCTIS / V.POSTUMIA;45.06745;7.62107;1;13;12720002888;1858_40U
62U;3;1858;PRONDA;V DE SANCTIS / V.POSTUMIA;45.06745;7.62107;1;13;12720002888;1858_62U
40U;3;1860;MONGINEVRO;VIA M. MAZZARELLO FRONTE N. 6;45.06423;7.62372;1;13;12720002097;1860_40U
62U;3;1860;MONGINEVRO;VIA M. MAZZARELLO FRONTE N. 6;45.06423;7.62372;1;13;12720002097;1860_62U
40U;3;1864;ANTICA DI GRUGLIASCO;V.M.MAZZARELLO FRONTE N. 70;45.05952;7.62759;1;13;12720002097;1864_40U
62U;3;1864;ANTICA DI GRUGLIASCO;V.M.MAZZARELLO FRONTE N. 70;45.05952;7.62759;1;13;12720002097;1864_62U
40U;3;1866;VEGLIA;V.G.RENI / V.MONFALCONE;45.05375;7.63006;1;12;12720002934;1866_40U
62U;3;1866;VEGLIA;V.G.RENI / V.MONFALCONE;45.05375;7.63006;1;12;12720002934;1866_62U
71U;3;1866;VEGLIA;V.G.RENI / V.MONFALCONE;45.05375;7.63006;1;12;12720002934;1866_71U
40U;3;1868;SEBASTOPOLI;V.G.RENI N.65;45.05133;7.62989;1;12;12720002319;1868_40U
62U;3;1868;SEBASTOPOLI;V.G.RENI N.65;45.05133;7.62989;1;12;12720002319;1868_62U
71U;3;1868;SEBASTOPOLI;V.G.RENI N.65;45.05133;7.62989;1;12;12720002319;1868_71U
40U;3;2227;VANDALINO;V DE SANCTIS N.41;45.07155;7.618930000000001;1;13;12720003420;2227_40U
62U;3;2227;VANDALINO;V DE SANCTIS N.41;45.07155;7.618930000000001;1;13;12720003420;2227_62U
40U;3;1010;SIRACUSA;C.TAZZOLI / C.SIRACUSA;45.03266;7.63413;1;12;12720003486;1010_40U
62U;3;1010;SIRACUSA;C.TAZZOLI / C.SIRACUSA;45.03266;7.63413;1;12;12720003486;1010_62U
40U;3;1017;CROCE;V.O.VIGLIANI / C.B.CROCE;45.018609999999995;7.64407;1;10;12720003666;1017_40U
40U;3;1492;SALVEMINI;V.RUBINO / C.SALVEMINI;45.04445;7.62505;2;12;12720002740;1492_40U
55U;3;1492;SALVEMINI;V.RUBINO / C.SALVEMINI;45.04445;7.62505;2;12;12720002740;1492_55U
88U;3;1492;SALVEMINI;V.RUBINO / C.SALVEMINI;45.04445;7.62505;2;12;12720002740;1492_88U
40U;3;1651;ROMITA;C.SALVEMINI / V.ROMITA;45.04351;7.6276;1;12;12720002740;1651_40U
58BU;3;1651;ROMITA;C.SALVEMINI / V.ROMITA;45.04351;7.6276;1;12;12720002740;1651_58BU
40U;3;1828;FILADELFIA;V.G.RENI DOPO V.FILADELFIA;45.0479;7.62966;2;12;12720002710;1828_40U
62U;3;1828;FILADELFIA;V.G.RENI DOPO V.FILADELFIA;45.0479;7.62966;2;12;12720002710;1828_62U
71U;3;1828;FILADELFIA;V.G.RENI DOPO V.FILADELFIA;45.0479;7.62966;2;12;12720002710;1828_71U
40U;3;1870;BOSTON;V.G.RENI DOPO V.BOSTON;45.04521;7.62944;1;12;12720002712;1870_40U
58BU;3;1870;BOSTON;V.G.RENI DOPO V.BOSTON;45.04521;7.62944;1;12;12720002712;1870_58BU
62U;3;1870;BOSTON;V.G.RENI DOPO V.BOSTON;45.04521;7.62944;1;12;12720002712;1870_62U
71U;3;1870;BOSTON;V.G.RENI DOPO V.BOSTON;45.04521;7.62944;1;12;12720002712;1870_71U
40U;3;2496;BENGASI;V.CORRADINO/V.NIZZA;45.01755;7.66251;1;9;12720002308;2496_40U
45U;3;2496;BENGASI;V.CORRADINO/V.NIZZA;45.01755;7.66251;1;9;12720002308;2496_45U
81U;3;2496;BENGASI;V.CORRADINO/V.NIZZA;45.01755;7.66251;1;9;12720002308;2496_81U
40U;3;1491;SALVEMINI;V.RUBINO N.10;45.043409999999994;7.62466;1;12;12720002997;1491_40U
55U;3;1491;SALVEMINI;V.RUBINO N.10;45.043409999999994;7.62466;1;12;12720002997;1491_55U
88U;3;1491;SALVEMINI;V.RUBINO N.10;45.043409999999994;7.62466;1;12;12720002997;1491_88U
40U;3;1652;ROMITA;C.SALVEMINI / V.ROMITA;45.04421;7.627389999999999;1;12;12720002984;1652_40U
58BU;3;1652;ROMITA;C.SALVEMINI / V.ROMITA;45.04421;7.627389999999999;1;12;12720002984;1652_58BU
40U;3;1747;CARRERA;C.TELESIO / V.CARRERA;45.08021;7.62701;1;14;12720002012;1747_40U
40U;3;1766;FRANCIA;CORSO B. TELESIO / CORSO FRANCIA;45.075390000000006;7.6249;1;14;12720002041;1766_40U
40U;3;1767;FRANCIA;CORSO B. TELESIO / CORSO FRANCIA;45.07508;7.62383;1;14;12720003414;1767_40U
40U;3;1768;PACCHIOTTI;CORSO B. TELESIO DOPO VIA PACCHIOTTI;45.07842;7.626760000000001;1;14;12720002691;1768_40U
40U;3;1773;PACCHIOTTI;CORSO B. TELESIO / VIA PACCHIOTTI;45.078359999999996;7.625769999999999;1;14;12720002029;1773_40U
40U;3;1827;SEBASTOPOLI;V.G.RENI / C.ALLAMANO;45.05106;7.62943;1;12;12720002981;1827_40U
62U;3;1827;SEBASTOPOLI;V.G.RENI / C.ALLAMANO;45.05106;7.62943;1;12;12720002981;1827_62U
71U;3;1827;SEBASTOPOLI;V.G.RENI / C.ALLAMANO;45.05106;7.62943;1;12;12720002981;1827_71U
40U;3;1829;CARRERA;CORSO B. TELESIO / VIA CARRERA;45.080020000000005;7.627789999999999;1;14;12720002689;1829_40U
40U;3;1855;MASSAUA SUD;V DE SANCTIS DOPO P.MASSAUA;45.07346;7.619039999999999;1;13;12720002386;1855_40U
62U;3;1855;MASSAUA SUD;V DE SANCTIS DOPO P.MASSAUA;45.07346;7.619039999999999;1;13;12720002386;1855_62U
VE1U;3;1855;MASSAUA SUD;V DE SANCTIS DOPO P.MASSAUA;45.07346;7.619039999999999;1;13;12720002386;1855_VE1U
40U;3;1857;PRONDA;V DE SANCTIS N.84;45.06774;7.62018;1;13;12720002398;1857_40U
62U;3;1857;PRONDA;V DE SANCTIS N.84;45.06774;7.62018;1;13;12720002398;1857_62U
40U;3;1859;MONGINEVRO;VIA SANTA MARIA MAZZARELLO N. 2;45.06413;7.62328;1;13;12720002406;1859_40U
62U;3;1859;MONGINEVRO;VIA SANTA MARIA MAZZARELLO N. 2;45.06413;7.62328;1;13;12720002406;1859_62U
40U;3;1863;ANTICA DI GRUGLIASCO;V.M.MAZZARELLO N. 70;45.06017;7.626580000000001;1;13;12720003528;1863_40U
62U;3;1863;ANTICA DI GRUGLIASCO;V.M.MAZZARELLO N. 70;45.06017;7.626580000000001;1;13;12720003528;1863_62U
40U;3;1865;VEGLIA;V.G.RENI / V.VEGLIA;45.05368;7.629630000000001;1;12;12720002981;1865_40U
62U;3;1865;VEGLIA;V.G.RENI / V.VEGLIA;45.05368;7.629630000000001;1;12;12720002981;1865_62U
71U;3;1865;VEGLIA;V.G.RENI / V.VEGLIA;45.05368;7.629630000000001;1;12;12720002981;1865_71U
40U;3;1867;FILADELFIA;V.G.RENI / V.FILADELFIA;45.04772;7.6292;1;12;12720003821;1867_40U
62U;3;1867;FILADELFIA;V.G.RENI / V.FILADELFIA;45.04772;7.6292;1;12;12720003821;1867_62U
71U;3;1867;FILADELFIA;V.G.RENI / V.FILADELFIA;45.04772;7.6292;1;12;12720003821;1867_71U
40U;3;1869;BOSTON;V.G.RENI / V.BOSTON;45.045429999999996;7.629010000000001;1;12;12720002983;1869_40U
58BU;3;1869;BOSTON;V.G.RENI / V.BOSTON;45.045429999999996;7.629010000000001;1;12;12720002983;1869_58BU
62U;3;1869;BOSTON;V.G.RENI / V.BOSTON;45.045429999999996;7.629010000000001;1;12;12720002983;1869_62U
71U;3;1869;BOSTON;V.G.RENI / V.BOSTON;45.045429999999996;7.629010000000001;1;12;12720002983;1869_71U
40U;3;1989;BIANCHI;C.TELESIO / V.BIANCHI;45.082609999999995;7.628539999999999;1;14;12720002002;1989_40U
40U;3;1990;BIANCHI;C.TELESIO / V.BIANCHI;45.08198;7.628939999999999;1;14;12720002013;1990_40U
40U;3;2778;CHAMBERY;V DE SANCTIS N.62;45.069520000000004;7.61883;1;13;12720002395;2778_40U
62U;3;2778;CHAMBERY;V DE SANCTIS N.62;45.069520000000004;7.61883;1;13;12720002395;2778_62U
40U;3;862;VANDALINO;V DE SANCTIS / V.ADAMELLO;45.0712;7.618339999999999;1;13;12720003512;862_40U
