codiceIsil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;comune;position_label;Lat;Long
IT-RM0418;Biblioteca dell'Accademia nazionale dei Lincei e Corsiniana;Accademia nazionale dei Lincei;Via della Lungara 10;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Importante non specializzata;;False;Roma;28;41,8933293;12,4669222
IT-RM0431;Biblioteca dell'Italseber farmaceutici. ISF;;Via Tiburtina 1040;NON SPECIFICATA;NON SPECIFICATA;;;Roma;29;41,9314024;12,5790587
IT-RM0432;Biblioteca dell'Intendenza di finanza;;Via del Clementino 91/a;NON SPECIFICATA;NON SPECIFICATA;;;Roma;30;41,9033745;12,4757904
IT-RM0436;Biblioteca dell'Ente nazionale per la prevenzione degli infortuni. ENPI;;Via Alessandria 220/e;NON SPECIFICATA;NON SPECIFICATA;;;Roma;31;41,9145218;12,5066929
IT-RM0441;Biblioteca dell'Ente nazionale democratico di azione sociale;Ente nazionale democratico di azione sociale;Via Merulana 48;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;False;Roma;32;41,8944099;12,5005963
IT-RM0454;Biblioteca dell'Associazione fra le casse di risparmio italiane;Associazione fra le casse di risparmio italiane;Via di Villa Grazioli 23;NON SPECIFICATA;NON SPECIFICATA;;;Roma;33;41,9225458;12,4987267
IT-RM0456;Biblioteca Centro ELIS;Associazione Centro Educazione Lavoro Istruzione Sport;Via S. Sandri 71;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;False;Roma;34;41,9039814;12,5488139
IT-RM0492;Biblioteca del Convento di Nostra Signora;;Via della Camilluccia 567-589/687;NON SPECIFICATA;NON SPECIFICATA;;;Roma;35;41,9430103;12,4488406
IT-RM0514;Biblioteca del Dipartimento di anatomia umana dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di anatomia umana;Via A. Borelli 50;Universita' statali;Istituto di insegnamento superiore;;False;Roma;36;41,9066543;12,5161354
IT-RM0529;Biblioteca del Movimento cristiano per la pace;;Via Rattazzi 24;NON SPECIFICATA;NON SPECIFICATA;;;Roma;37;41,8979549;12,5035967
IT-RM0531;Biblioteca del Monastero S. Antonio abate delle monache camaldolesi;;Clivo dei Publicii 2;NON SPECIFICATA;NON SPECIFICATA;;;Roma;38;41,8847716;12,4826568
IT-RM0562;"Biblioteca della Facoltà di Medicina e Psicologia ""Ernesto Valentini"" dell'Università degli studi di Roma La Sapienza - sede Servizio Sociale";Università degli studi di Roma La Sapienza. Facoltà di medicina e psicologia;Via dei Sardi 58/60;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;39;41,8967699;12,515684
IT-RM0578;Biblioteca del Collegio rabbinico italiano;Collegio rabbinico italiano;Lungotevere Sanzio 14;Accademie, associazioni, fondazioni, istituti (pubblici);NON SPECIFICATA;;True;Roma;40;41,8908895;12,471905
IT-RM0583;Biblioteca del Collegio S. Isidoro dei francescani irlandesi;;Via artisti 41;NON SPECIFICATA;NON SPECIFICATA;;;Roma;41;41,9054765;12,4870755
IT-RM0587;Biblioteca del Claretianum;Istituto di Teologia della Vita Consacrata “Claretianum”;Largo Mossa 4;Enti ecclesiastici;NON SPECIFICATA;;True;Roma;42;41,8935154;12,4193349
IT-RM0593;Biblioteca comunale;Comune di Roviano;Via Pischera 1;Comune;Pubblica;;False;Roma;43;42,0263512;12,9948673
IT-RM0595;Biblioteca comunale;Comune di San Vito Romano;Via Borgo Mario Theodoli 34;Comune;Pubblica;;False;Roma;44;41,8823999;12,9816278000001
IT-RM0597;Biblioteca comunale - Centro documentazione Don Mariano De Carolis;Comune di Sant'Oreste;Piazza Cavalieri Caccia 12;Comune;Pubblica;;False;Roma;45;42,234546;12,519164
IT-RM0599;Biblioteca comunale Alessandro Capotosti;Comune di Santa Marinella;Via Aurelia, 310/B;Comune;Pubblica;False;False;Roma;46;42,0325989;11,8395433000001
IT-RM0601;Biblioteca comunale;Comune di Segni;Via della Pretura 1;Comune;Pubblica;;False;Roma;47;41,6924807;13,0225611
IT-RM0605;Biblioteca comunale;Comune di Subiaco;Via della Repubblica 26;Comune;Pubblica;;False;Roma;48;41,9265807;13,0909485
IT-RM0606;Biblioteca comunale Maria Coccanari Fornari;Comune di Tivoli;Piazza del Tempio d'Ercole 1;Comune;Importante non specializzata;;False;Roma;49;41,9635938;12,7996696
IT-RM0607;Biblioteca comunale;Comune di Tolfa;Piazza Vittorio Veneto 12;Comune;Pubblica;;False;Roma;50;42,1495677;11,9377978
IT-RM0608;Biblioteca comunale;Comune di Torrita Tiberina;Largo 16 marzo 1978;Comune;Pubblica;;False;Roma;51;42,2368825;12,6177624
IT-RM0611;Biblioteca comunale di Velletri - Fondo antico;Comune di Velletri;Via del Comune 34;Comune;Pubblica;;False;Roma;52;41,6875957;12,7781127000001
IT-RM0613;Biblioteca comunale centrale dell'Orologio;Comune di Roma - Istituzione Biblioteche di Roma;Piazza dell'Orologio 3;Comune;NON SPECIFICATA;;False;Roma;53;41,898927;12,468227
IT-RM0615;Biblioteca Comunale Rispoli;Comune di Roma - Istituzione Biblioteche di Roma; Piazza Grazioli 4;Comune;NON SPECIFICATA;;;Roma;54;41,89704;12,48055
IT-RM0616;Biblioteca comunale Enzo Tortora;Comune di Roma - Istituzione Biblioteche di Roma;Via Nicola Zabaglia 27 b;Comune;Pubblica;True;False;Roma;55;41,8771973;12,4761267
IT-RM0617;Biblioteca comunale Villa Leopardi;Comune di Roma - Istituzione Biblioteche di Roma;Via Makallé 4;Comune;Pubblica;True;False;Roma;56;41,9272884;12,5214827
IT-RM0619;Biblioteca comunale Flaminia;Comune di Roma - Istituzione Biblioteche di Roma;Via Fracassini 9;Comune;Pubblica;True;False;Roma;57;41,9235684;12,4709662
IT-RM0620;Biblioteca comunale Villa Mercede - Sezione ragazzi;Comune di Roma - Istituzione Biblioteche di Roma;Via dei Sardi 35;Comune;Pubblica;False;False;Roma;58;41,8979345;12,5156557
IT-RM0621;Biblioteca comunale Ennio Flaiano;Comune di Roma - Istituzione Biblioteche di Roma;Via Monte Ruggero 39;Comune;Pubblica;True;False;Roma;59;41,9478447;12,5305432
IT-RM0622;Biblioteca comunale Vaccheria Nardi;Comune di Roma - Istituzione Biblioteche di Roma;Via di Grotta di Gregna 37;Comune;Pubblica;False;False;Roma;60;41,9123551;12,5635904
IT-RM0623;Biblioteca comunale Goffredo Mameli;Comune di Roma - Istituzione Biblioteche di Roma;Via del Pigneto, 22;Comune;Pubblica;True;False;Roma;61;41,8873694;12,5294369
IT-RM0624;Biblioteca comunale Penazzato;Comune di Roma - Istituzione Biblioteche di Roma;Via Dino Penazzato 112;Comune;Pubblica;;False;Roma;62;41,8985747;12,5660636
IT-RM0626;Biblioteca comunale Rugantino;Comune di Roma - Istituzione Biblioteche di Roma;Via Rugantino 113;Comune;Pubblica;True;False;Roma;63;41,8635164;12,5810549
IT-RM0627;Biblioteca comunale Nelson Mandela;Comune di Roma - Istituzione Biblioteche di Roma;Via La Spezia 21;Comune;Pubblica;True;False;Roma;64;41,8857899;12,5118765
IT-RM0628;Biblioteca comunale Latina;Comune di Roma.;Via Latina 303;Comune;Pubblica;;True;Roma;65;41,8693504;12,522153
IT-RM0630;BiblioCaffé Letterario;Comune di Roma - Istituzione Biblioteche di Roma;Via Ostiense 95;Comune;Pubblica;;False;Roma;66;41,871104;12,4801043
IT-RM0631;Biblioteca comunale Pier Paolo Pasolini;Comune di Roma - Istituzione Biblioteche di Roma;Viale Caduti per la Resistenza, 410/a;Comune;Pubblica;True;False;Roma;67;41,7853958;12,4397363
IT-RM0632;Biblioteca comunale Elsa Morante;Comune di Roma - Istituzione Biblioteche di Roma;via Adolfo Cozza 7;Comune;Pubblica;True;False;Roma;68;41,7323654;12,2726276999999
IT-RM0633;Biblioteca comunale Franco Basaglia;Comune di Roma - Istituzione Biblioteche di Roma;Via Federico Borromeo 67;Comune;Pubblica;True;False;Roma;69;41,9191315;12,4153068
IT-RM0634;Biblioteca comunale;Comune di Fiumicino;Largo G. Falcone 2;Comune;Pubblica;;False;Roma;70;41,7872434;12,2433477
IT-RM0635;Biblioteca comunale Guglielmo Marconi;Comune di Roma - Istituzione Biblioteche di Roma;Via Gerolamo Cardano 135;Comune;Pubblica;True;False;Roma;71;41,86245;12,4648852
IT-RM0637;Biblioteca comunale Colli Portuensi;Comune di Roma - Istituzione Biblioteche di Roma;Viale dei Colli Portuensi 275;Comune;Pubblica;True;False;Roma;72;41,8676896;12,4439244
IT-RM0638;Biblioteca comunale Longhena;Comune di Roma - Istituzione Biblioteche di Roma;Via Baldassarre Longhena 98;Comune;Pubblica;True;False;Roma;73;41,8688216;12,4100578
IT-RM0639;Biblioteca comunale Giordano Bruno;Comune di Roma - Istituzione Biblioteche di Roma;Via Giordano Bruno 47;Comune;Pubblica;False;False;Roma;74;41,9112208;12,4525093
IT-RM0640;Biblioteca comunale Assarotti;Comune di Roma - Istituzione Biblioteche di Roma;Via Assarotti 9/B;Comune;Pubblica;;;Roma;75;41,941413;12,4230044
IT-RM0641;Biblioteca comunale Galline bianche;Comune di Roma - Istituzione Biblioteche di Roma;Via delle Galline bianche 105;Comune;Pubblica;True;False;Roma;76;41,9964767;12,4863592
IT-RM0645;Biblioteca Guillaume Apollinaire del Centro di Studi italo-francesi. Università degli studi Roma Tre;Università degli studi di Roma Tre. Centro di studi italo-francesi;Piazza Campitelli 3;Universita' statali;Istituto di insegnamento superiore;;False;Roma;77;41,8930711;12,4796855
IT-RM0654;Biblioteca dell'Opera pia collegio Nazareno;Opera pia collegio Nazareno;Largo del Nazareno 25;Aziende ed amministrazioni dello stato ad ordinamento autonomo;Importante non specializzata;;False;Roma;78;41,9028935;12,4833837
IT-RM0698;Biblioteca del Pontificio Collegio belga;;Via Pagano 35;NON SPECIFICATA;NON SPECIFICATA;;;Roma;79;41,893591;12,63056
IT-RM0704;Biblioteca del Pontificio Collegio polacco;;Piazza Remuria 2/a;NON SPECIFICATA;NON SPECIFICATA;;;Roma;80;41,8798245;12,4868738
IT-RM0729;Biblioteca dell'Unione romana degli ingegneri ed architetti;;Corso Vittorio Emanuele 184;NON SPECIFICATA;NON SPECIFICATA;;;Roma;81;41,8972899;12,4708183
IT-RM0742;Centro nazionale del libro parlato;Unione italiana dei ciechi;Via Borgognona 38;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;Roma;82;41,9045128;12,4802961
IT-RM0766;Biblioteca archivio delle pubblicazioni dello Stato;;Via Asia 34;NON SPECIFICATA;NON SPECIFICATA;;;Roma;83;41,8318022;12,4706471
IT-RM0769;Biblioteca della Fondazione Centro Studi Emigrazione;Missionari di San Carlo - Scalabriniani;Via E. Dandolo, 58;Enti ecclesiastici;Importante non specializzata;False;False;Roma;84;41,8834907;12,4668616
IT-RM0770;Biblioteca del Comitato italiano per lo studio dei problemi della popolazione;Comitato italiano per lo studio dei problemi della popolazione;Via Nomentana 41;NON SPECIFICATA;NON SPECIFICATA;;;Roma;85;41,909944;12,501868
IT-RM0781;Biblioteca dell'Istituto per studi, ricerche e informazioni sul mercato agricolo. IRUAM;;Via Nomentana 183;NON SPECIFICATA;NON SPECIFICATA;;;Roma;86;41,9127699;12,5063063
IT-RM0787;Biblioteca della CONSULTEL;;Via Tevere 50;NON SPECIFICATA;NON SPECIFICATA;;;Roma;87;41,9115752;12,4968884
IT-RM0789;Biblioteca dell'ITALCABLE;;Via Calabria 46/48;NON SPECIFICATA;NON SPECIFICATA;;;Roma;88;41,9094712;12,4971732
IT-RM0798;Biblioteca dell'Archivio storico del partito comunista italiano;;Via delle Botteghe Oscure 4;NON SPECIFICATA;NON SPECIFICATA;;;Roma;89;41,8949219;12,4797715
IT-RM0818;Biblioteca dell'IRI management;;Piazza della Repubblica 59;NON SPECIFICATA;NON SPECIFICATA;;;Roma;90;41,9027527;12,4965147
IT-RM0822;Biblioteca della Contraves italiana;;Via Affile 102;NON SPECIFICATA;NON SPECIFICATA;;;Roma;91;41,9301415;12,6211159
IT-RM0823;Centro di documentazione europea Altiero Spinelli;Sapienza Università di Roma Facoltà di economia;Via del Castro Laurenziano 9;Universita' statali;Istituto di insegnamento superiore;;;Roma;92;41,9056641;12,5173924
IT-RM0825;Biblioteca della COMERINT SpA;COMERINT SpA;Via C. G. Viola;NON SPECIFICATA;NON SPECIFICATA;;;Roma;93;41,8223196;12,4113824
IT-RM0828;Biblioteca dell'Istituto nazionale di formazione cooperativa;Istituto nazionale di formazione cooperativa;Via G. Tomassetti 12;NON SPECIFICATA;NON SPECIFICATA;;;Roma;94;41,9161061;12,5130835
IT-RM0840;Biblioteca dell'AGIP petroli;AGIP petroli SpA;Via Laurentina 449;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;True;Roma;95;41,8325179;12,480903
IT-RM0849;Biblioteca della Federazione italiana tradizioni popolari;;Via T. Inghirami 85;NON SPECIFICATA;NON SPECIFICATA;;;Roma;96;41,867586;12,5275162
IT-RM0850;Biblioteca della Fondazione europea Dragan. Sezione di Roma;Fondazione europea Dragan. Sezione di Roma;Foro Traiano 1/a;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;;Roma;97;41,8958265;12,4848265
IT-RM0862;Biblioteca dell'Università degli Studi di Roma Foro Italico;Università degli Studi di Roma Foro Italico;Piazza Lauro de Bosis, 6;Universita' statali;Istituto di insegnamento superiore;True;False;Roma;98;41,9315878;12,458569
IT-RM0891;Biblioteca dell'Università popolare romana;Università popolare italiana;Via della pigna 13/A;Accademie, associazioni, fondazioni, istituti (pubblici);Pubblica;;True;Roma;99;41,8969607;12,4775164
IT-RM0893;Biblioteca del Dipartimento di idraulica, trasporti e strade. Sezione trasporti e strade Franco Giannini dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di idraulica, trasporti e strade;Via Eudossiana 18;Universita' statali;Istituto di insegnamento superiore;;False;Roma;100;41,89312;12,4928853
IT-RM0901;Biblioteca del Dipartimento di Ingegneria informatica automatica e gestionale Antonio Ruberti dell'Università degli studi di Roma La Sapienza;Università degli studi di Roma La Sapienza. Dipartimento di informatica e sistemistica Antonio Ruberti;Via Ariosto 25;Universita' statali;Istituto di insegnamento superiore;;False;Roma;101;41,8910226;12,5037647
