;codici-identificativi.isil;denominazioni.ufficiale;ente;indirizzo.via-piazza;tipologia-amministrativa;tipologia-funzionale;accesso.portatori-handicap;accesso.riservato;Lat;Long;comune
14086;IT-RM2012;Biblioteca del Centro Pio Rajna;Centro Pio Rajna - Centro di studi per la ricerca letteraria, linguistica e filologica;Viale Manzoni 47 - Villa Altieri (piano 3);Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;41.8912318547743;12.5078650263199;Roma
14087;IT-RM2013;Biblioteca della Scuola di perfezionamento per le Forze di Polizia;Ministero dell'Interno. Scuola di perfezionamento per le forze di polizia;Piazza di Priscilla 6;Presidenza del consiglio dei ministri e ministeri;Specializzata;True;True;41.9302414;12.5093625;Roma
14088;IT-RM2014;Biblioteca Italo Viglianesi;Fondazione Bruno Buozzi;Via Sistina 57;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;41.9052176322583;12.4849297153443;Roma
14089;IT-RM2015;Biblioteca Don Agostino Roscelli dell'Istituto paritario Immacolata;Istituto delle suore dell'Immacolata;Via Monza 21;Enti ecclesiastici;Scolastica;True;True;41.8848765;12.5152949000001;Roma
14091;IT-RM2017;Biblioteca dell'Istituto internazionale di Teologia Pastorale Sanitaria Camillianum;Provincia romana dell'Ordine dei chierici regolari Ministri degli Infermi - Camilliani;Largo Ottorino Respighi 6;Enti ecclesiastici;Specializzata;True;False;41.94384;12.45027;Labico
14092;IT-RM2021;Biblioteca Giulio Regeni dell'Istituto di istruzione superiore Leonardo da Vinci;Ministero dell'istruzione, dell'università e della ricerca. Istituto di istruzione superiore Leonardo da Vinci;Via di Maccarese 38/40;Presidenza del consiglio dei ministri e ministeri;Scolastica;;True;41.8761358;12.2438334999999;Grottaferrata
14093;IT-RM2022;Biblioteca dell'Abbazia di san Paolo fuori le mura;Abbazia S. Paolo fuori le mura;Via Ostiense, 186;Enti ecclesiastici;Importante non specializzata;False;False;41.85791;12.47788;Roma
14094;IT-RM2023;Biblioteca dell'Ufficio Storico della Marina Militare;Ministero della difesa. Ufficio Storico della Marina Militare;Via Taormina 4;Presidenza del consiglio dei ministri e ministeri;Specializzata;True;False;41.9568466;12.4517146000001;Roma
14095;IT-RM2024;Biblioteca del Centro studi Giorgio Muratore;Centro Studi Giorgio Muratore;Via Tevere 20;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;41.9138386;12.4963416;Roma
14096;IT-RN0001;Biblioteca comunale;Comune di Cattolica;Piazza della Repubblica 31;Comune;Pubblica;;False;43.961458;12.749478;Fiumicino
14097;IT-RN0002;Centro di pubblica lettura di Ospedaletto;Comune di Coriano;Via Borgata 53;Comune;Pubblica;;False;43.9817523;12.5692164;Roma
14098;IT-RN0003;Biblioteca comunale Giovanni Antonio Battarra;Comune di Coriano;Via Martin Luther King 13;Comune;Pubblica;;False;43.9651157;12.6033481;Roma
14099;IT-RN0005;Biblioteca comunale;Comune di Misano Adriatico;Via Rossini, 7;Comune;Pubblica;True;False;43.9795749;12.689005;Roma
14100;IT-RN0006;Biblioteca comunale Giovanni Muzzarelli;Comune di Mondaino;Via Secondaria Levante 1;Comune;Pubblica;;False;43.8548469;12.671614;Roma
14101;IT-RN0009;Biblioteca comunale;Comune di Montegridolfo;Via Roma 2;Comune;Pubblica;;False;43.8589896;12.6889146;Roma
14102;IT-RN0010;Biblioteca comunale Gaspare Mariotti;Comune di Morciano di Romagna;Piazza del Popolo 1;Comune;Pubblica;;False;43.9139036;12.6455543;Roma
14103;IT-RN0011;Biblioteca comunale Pio Campidelli;Comune di Poggio Berni;Via Santarcangiolese, 4631;Comune;Pubblica;;False;44.0268363;12.4079884;Roma
14104;IT-RN0012;Biblioteca del Seminario vescovile - San Fortunato;;;NON SPECIFICATA;NON SPECIFICATA;;;44.0420137;12.5508023;Roma
14105;IT-RN0013;Biblioteca civica Gambalunga;Comune di Rimini;Via Gambalunga 27;Comune;Pubblica;;False;44.0616558;12.5678351;Roma
14106;IT-RN0014;Biblioteca del Convento Le Grazie;;Viale S. Bernardino 26;Enti ecclesiastici;NON SPECIFICATA;;;44.058317;12.5679949;Roma
14107;IT-RN0015;Biblioteca comunale Publio Francesco Modesti;Comune di Saludecio;Piazza Beato A. Ronconi 1;Comune;Pubblica;;False;43.872824;12.668548;Roma
14108;IT-RN0016;Biblioteca comunale Giuseppe Tasini;Comune di San Clemente;Piazza G. Mazzini 12;Comune;Pubblica;;False;43.9323491;12.6254605;Roma
14109;IT-RN0017;Biblioteca del Centro internazionale ricerche sulle strutture ambientali Pio Manzù;Centro internazionale ricerche sulle strutture ambientali Pio Manzù;Via Budrio 35;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;43.9802695;12.4094063;Roma
14110;IT-RN0020;Biblioteca comunale Alfredo Panzini;Comune di Bellaria-Igea Marina;Via P. Guidi 108;Comune;Pubblica;;False;44.147837;12.4625817;Roma
14111;IT-RN0021;Biblioteca comunale;Comune di Montescudo;Via Roma 1;Comune;Pubblica;;;43.9200309;12.5436791;Roma
14112;IT-RN0023;Biblioteca comunale;Comune di San Giovanni in Marignano;Via Roma 59;Comune;Pubblica;;False;43.9391995;12.7138376;Roma
14113;IT-RN0024;Biblioteca civica Gambalunga. Cineteca comunale;Comune di Rimini;Via Gambalunga 27;Comune;Specializzata;;False;44.0616558;12.5678351;Roma
14114;IT-RN0025;Biblioteca dell'Istituto di scienze dell'uomo Jacques Maritain;Istituto di scienze dell'uomo Jacques Maritain;Via L. Tonini 5;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.0727018;12.5625678;Anzio
14115;IT-RN0026;Biblioteca dell'Istituto per la storia della Resistenza e dell'Italia contemporanea della Provincia di Rimini;Istituto per la storia della Resistenza e dell'Italia contemporanea della Provincia di Rimini;Via Gambalunga 27;Accademie, associazioni, fondazioni, istituti (pubblici);Specializzata;;False;44.0616558;12.5678351;Roma
14116;IT-RN0027;Biblioteca comunale;Comune di Riccione;Viale Lazio 6 - Centro della Pesa;Comune;Pubblica;;False;43.9947081;12.6525337;Roma
14117;IT-RN0028;Biblioteca comunale Antonio Baldini;Comune di Santarcangelo di Romagna;Via Cavallotti 3;Comune;Pubblica;;False;44.0629915;12.4474899;Roma
14118;IT-RN0029;Archivio di Stato di Rimini - Biblioteca;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Rimini;Piazzetta S. Bernardino 1;Direzione generale Archivi;Specializzata;;True;44.0583054;12.5679227;Roma
14119;IT-RN0030;Biblioteca centrale Campus di Rimini Alma Mater Studiorum Università di Bologna. Sede di Rimini;Università degli studi di Bologna;Via Vittime Civili 5;Universita' statali;Istituto di insegnamento superiore;True;False;44.0636182;12.5689914;Roma
14120;IT-RN0031;Biblioteca comunale don L. Milani;Comune di Verucchio;Via Casale 119;Comune;Pubblica;;False;44.0051775;12.4365316;Roma
14121;IT-RN0032;Biblioteca medico-scientifica dell'Ospedale Infermi;AUSL di Rimini. Ospedale Infermi;Via Settembrini 2;Aziende ed enti del servizio sanitario nazionale;Specializzata;;True;44.048029;12.588827;Roma
14122;IT-RN0033;Biblioteca del Settore educazione e formazione;Comune di Rimini;Via Ducale 7;Comune;Specializzata;;True;44.0633499;12.5651397;Ariccia
14123;IT-RN0034;Biblioteca Centro giovani Quartiere 5 - S. Giustina;Comune di Rimini;Via Montiano 14;Comune;Pubblica;;False;44.0682143;12.4817908;Roma
14124;IT-RN0035;Biblioteca del Quartiere n. 3 - Miramare;Comune di Rimini;Piazzale D. Raggi 2;Comune;Pubblica;;False;44.0310538;12.6179527;Palestrina
14125;IT-RN0036;Biblioteca dei Musei comunali;Comune di Rimini;Via Cavalieri 26;Comune;Specializzata;;True;44.0631301;12.5674629;Fiumicino
14126;IT-RN0037;Biblioteca del Civico Liceo musicale Giovanni Lettimi;Comune di Rimini;Via Cairoli 44;Comune;Specializzata;;False;44.0596468;12.5659956;Roma
14127;IT-RN0038;Biblioteca specializzata Dominars del Centro di documentazione donne;Comune di Rimini;Via Cairoli 44;Comune;Specializzata;;False;44.0596468;12.5659956;Roma
14128;IT-RN0039;Archivio di Stato di Rimini;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Rimini;;Direzione generale Archivi;NON SPECIFICATA;;;44.0607791;12.5662567;Roma
14129;IT-RN0040;Biblioteca Paolo Toschi del Museo degli usi e costumi della gente di Romagna;Comune di Santarcangelo di Romagna;Via Montevecchi 41;Comune;Specializzata;;False;44.0663295;12.446172;Roma
14130;IT-RN0041;"Centro di lettura ""Ledino Casadei""";Comune di Gemmano;Largo V. Pillitteri, 2;Comune;Specializzata;;False;43.904546;12.556498;Roma
14131;IT-RN0042;Centro di documentazione ambientale del WWF. Sezione di Rimini;World wildlife found - WWF Italia;Via Rinaldo Orsini 26;Organizzazioni internazionali;NON SPECIFICATA;;False;44.0697964;12.5684382;Roma
14132;IT-RN0043;Biblioteca comunale;Comune di Montefiore Conca;Via Europa, 96;Comune;Pubblica;;False;43.8872102;12.6118854;Roma
14133;IT-RN0044;Biblioteca diocesana mons. Emilio Biancheri;Seminario Vescovile don Oreste Benzi;Via Covignano, 265-267;Enti ecclesiastici;Specializzata;False;False;44.0307923;12.5451244;Roma
14134;IT-RN0045;Biblioteca Centro di lettura di Monte Colombo;;Vicolo Malatesta, 2;NON SPECIFICATA;NON SPECIFICATA;;;43.9205323;12.5528659;Roma
14135;IT-RN0046;Biblioteca civica Gambalunga. Sezione ragazzi;;Via Alessandro Gambalunga, 27;NON SPECIFICATA;NON SPECIFICATA;;;44.0616558;12.5678351;Roma
14136;IT-RN0047;Biblioteca del Liceo statale Alessandro Serpieri;Ministero dell'istruzione, dell'università e della ricerca. Liceo statale Alessandro Serpieri;Via Sacramora 52;Presidenza del consiglio dei ministri e ministeri;Scolastica;;;44.08405;12.5354;Roma
14137;IT-RN0081;Biblioteca Rilego e Rileggo;Associazione Culturale Rilego e Rileggo;Via Rocca 24;Accademie, associazioni, fondazioni, istituti, societa' (privati);Pubblica;;False;43.9836617157181;12.421737924537;Roma
14138;IT-RN0082;Biblioteca del Monastero delle Clarisse;Sorelle povere di Santa Chiara del Monastero di S. M. Maddalena;Via Angelo Battelli 12;Enti ecclesiastici;Specializzata;;;43.8650373732514;12.2085556711986;Roma
14139;IT-RN0083;Biblioteca Comunale;Comune di Montescudo-Monte Colombo;Via Indipendenza 128;Comune;Pubblica;;False;43.9120993216784;12.5577727701447;Roma
14140;IT-RN0084;Biblioteca della Fondazione Unicampus San Pellegrino;Fondazione Unicampus San Pellegrino;Via Massimo D'Azeglio 8;Accademie, associazioni, fondazioni, istituti, societa' (privati);Specializzata;;False;43.9748362808388;12.7061740502625;Roma
14141;IT-RO0001;Biblioteca capitolare;;Via Vescovado;NON SPECIFICATA;NON SPECIFICATA;;;45.0569096;12.0561105;Roma
14142;IT-RO0002;BIBLIOTECA COMUNALE DI ADRIA;COMUNE DI ADRIA;PIAZZA BOCCHI, 6;Comune;Pubblica;True;False;45.0542799;12.0550063;Roma
14143;IT-RO0003;BIBLIOTECA COMUNALE DI ARIANO NEL POLESINE;Comune di Ariano nel Polesine;VIA ROMA, 1;Comune;Pubblica;True;False;44.9455986;12.1236115;Roma
14144;IT-RO0004;BIBLIOTECA COMUNALE DI ARQUÀ POLESINE;COMUNE DI ARQUÀ POLESINE;VIA ROMA, 6;Comune;Pubblica;;False;45.0111674;11.7415015;Roma
14145;IT-RO0005;BIBLIOTECA COMUNALE DI BADIA POLESINE;COMUNE DI BADIA POLESINE;VIA DON MINZONI 88;Comune;Pubblica;True;False;45.093049;11.4930279;Roma
14146;IT-RO0006;BIBLIOTECA COMUNALE DI BAGNOLO DI PO;Comune di Bagnolo di Po;PIAZZA GUGLIELMO MARCONI, 159;Comune;Pubblica;;False;45.0154537;11.5002251;Roma
14147;IT-RO0007;BIBLIOTECA COMUNALE DI BERGANTINO 'BELLINI';COMUNE DI BERGANTINO;PIAZZA MATTEOTTI, 85;Comune;Pubblica;True;False;45.0602206;11.2535322;Roma
14148;IT-RO0008;BIBLIOTECA COMUNALE DI BOSARO;PROVINCIA DI ROVIGO;P.ZZA MADONNA DI SAN LUCA, 238;Unione di Comuni;Pubblica;True;False;45.825145;10.4632166;Roma
14149;IT-RO0009;BIBLIOTECA COMUNALE DI CALTO;COMUNE DI CALTO;PIAZZA IV NOVEMBRE, 165;Comune;Pubblica;True;False;44.990068;11.3581211;Roma
14150;IT-RO0010;BIBLIOTECA COMUNALE DI CANARO;Comune di Canaro;VIA MORANDI, 57 A;Comune;Pubblica;False;False;44.935267;11.677487;Roma
14151;IT-RO0011;BIBLIOTECA COMUNALE DI CANDA;COMUNE DI CANDA;VIA GUGLIELMO MARCONI, 35;Comune;Pubblica;True;False;45.0341937;11.5063331;Roma
14152;IT-RO0012;BIBLIOTECA COMUNALE MATTIA BORTOLOTTI DI CASTELGUGLIELMO;COMUNE DI CASTELGUGLIELMO;Via Magenta, 83;Comune;Pubblica;True;False;45.0257565;11.5364512;Roma
14153;IT-RO0014;BIBLIOTECA COMUNALE DI CASTELMASSA;COMUNE DI CASTELMASSA;VIA CESARE BATTISTI, 115;Comune;Pubblica;True;False;45.0192013;11.3116217;Roma
14154;IT-RO0015;BIBLIOTECA COMUNALE FELICE CHILANTI DI CENESELLI;COMUNE DI CENESELLI;PIAZZA MARCONI;Comune;Pubblica;True;False;45.013096;11.3694119;Roma
14155;IT-RO0016;BIBLIOTECA COMUNALE DI CEREGNANO;COMUNE DI CEREGNANO;P.ZZA MARCONI, 33;Comune;Pubblica;True;False;45.0500772;11.8705617;Roma
14156;IT-RO0017;BIBLIOTECA COMUNALE DI PORTO VIRO;COMUNE DI PORTO VIRO;VIA NAVI ROMANE N. 8;Comune;Pubblica;True;False;45.0240963;12.2166854;Roma
14157;IT-RO0018;BIBLIOTECA COMUNALE DI COSTA DI ROVIGO;Comune di Costa di Rovigo;PIAZZA SAN ROCCO, 17;Comune;Pubblica;True;False;45.04879;11.6943827;Roma
14158;IT-RO0019;BIBLIOTECA COMUNALE DI CRESPINO;COMUNE DI CRESPINO;VIALE TRIESTE, 33;Unione di Comuni;Pubblica;True;False;44.9825974;11.8883871;Fiumicino
14159;IT-RO0020;BIBLIOTECA COMUNALE DI PORTO VIRO 'LA BOTTEGA DI PINOCCHIO';COMUNE DI PORTO VIRO;VIA PIAVE, 9;Comune;Pubblica;False;False;45.0382399;12.2166039;Roma
14160;IT-RO0021;BIBLIOTECA COMUNALE DI FICAROLO;COMUNE DI FICAROLO;VIA GIGLIOLI, 280;Comune;Pubblica;True;False;0.0;0.0;Roma
14161;IT-RO0022;BIBLIOTECA COMUNALE DI FIESSO UMBERTIANO;Comune di Fiesso Umbertiano;VIA GIUSEPPE VERDI, 480;Comune;Pubblica;True;False;44.9612035;11.6046987;Roma
14162;IT-RO0024;BIBLIOTECA COMUNALE DINO GHINATTI DI FRASSINELLE POLESINE;COMUNE DI FRASSINELLE POLESINE;PIAZZA DEL POPOLO, 56/14;Comune;Pubblica;True;False;44.996719;11.6976671;Cattolica
14163;IT-RO0025;BIBLIOTECA COMUNALE DI FRATTA POLESINE;COMUNE DI FRATTA POLESINE;VIA GIOVANNI TASSO, 37;Comune;Pubblica;True;False;45.0316926;11.6409806;Coriano
14164;IT-RO0026;BIBLIOTECA COMUNALE DI GAIBA;Comune di Gaiba;CORSO GIOVANNI XXIII;Comune;Pubblica;True;False;44.946126;11.4820671;Coriano
14165;IT-RO0027;BIBLIOTECA COMUNALE DI GAVELLO;Comune di Gavello;P.ZZA XX SETTEMBRE, 1;Comune;Pubblica;True;False;45.0215303;11.9149859;Misano Adriatico
14166;IT-RO0028;Biblioteca comunale Ugo Grisetti;COMUNE DI GIACCIANO CON BARUCHELLA;VIA ALCIDE DE GASPERI, 58;Comune;Pubblica;False;False;45.0657272;11.4509336;Mondaino
