IDquartiere;quartiere;indice_stranieri;perc_europei;perc_africa;perc_america;perc_asia;perc_oceania;indice_vecchiaia_uomo;indice_vecchiaia;indice_vecchiaia_donna;indice_pop_attiva;indice_pop_attiva_uomo;indice_pop_attiva_donna;indice_pop_pendolare;indice_pop_non_pend_esterna_quartiere;indice_pop_non_pend_interna_quartiere
1;DUOMO;0.1086093577145832;0.3055721989215099;0.08807669263031756;0.17555422408627921;0.42959856201318153;0.0011983223487118035;1.4084249084249085;1.677846008502598;1.9648780487804878;1.4391348088531186;1.4126984126984128;1.4630872483221478;0.04464111407561658;0.4780373527689204;0.477321533155463
2;BRERA;0.10261811616009629;0.3460410557184751;0.06392961876832845;0.1718475073313783;0.4129032258064516;0.005278592375366569;1.457092819614711;1.793527803099362;2.158745247148289;1.4990467111534795;1.4492529623905204;1.5419068736141908;0.047667770087270536;0.45386698766175143;0.49846524225097805
3;GIARDINI PORTA VENEZIA;0.18518518518518517;0.1;0.0;0.2;0.7;0.0;0.4;0.45454545454545453;0.5;0.8095238095238095;0.5;1.2222222222222223;0.05555555555555555;0.5370370370370371;0.4074074074074074
4;GUASTALLA;0.102723125178215;0.27550312283136713;0.04441360166551006;0.20541290770298404;0.4732824427480916;0.0013879250520471894;1.5736095965103598;1.925207756232687;2.2882882882882885;1.462837837837838;1.3654524089306699;1.5524324324324323;0.04847447961220416;0.4709865982321072;0.4805389221556886
5;VIGENTINA;0.08238478070524556;0.30917874396135264;0.10338164251207729;0.19903381642512077;0.3864734299516908;0.001932367149758454;1.435215946843854;1.8735565819861433;2.3510253317249696;1.4550161812297735;1.387878787878788;1.517133956386293;0.057629547082703174;0.47568255989811353;0.46668789301918334
6;TICINESE;0.08864176203843663;0.2850182704019488;0.13032886723507917;0.19488428745432398;0.38976857490864797;0.0;1.5090415913200723;1.9361602982292638;2.3903846153846153;1.1858011444921317;1.1684250188394876;1.201497617426821;0.05576549341394947;0.48283308140790326;0.46140142517814725
7;MAGENTA - S. VITTORE;0.08764792899408284;0.340365682137834;0.06329113924050633;0.1729957805907173;0.4170182841068917;0.006329113924050633;1.211661341853035;1.5688421052631578;1.9670525378450578;1.5007411067193677;1.4938337801608579;1.5066422354557947;0.05257642998027613;0.48785749506903353;0.45956607495069035
8;PARCO SEMPIONE;0.0;;;;;;0.0;0.0;;1.0;1.0;;0.0;1.0;0.0
9;GARIBALDI REPUBBLICA;0.11117898594990837;0.2490842490842491;0.07509157509157509;0.2673992673992674;0.4010989010989011;0.007326007326007326;1.298360655737705;1.8298245614035087;2.4415094339622643;1.3356940509915014;1.2837078651685394;1.3885714285714286;0.05864386072083079;0.4766849928731419;0.4646711464060273
10;CENTRALE;0.18032473734479465;0.1507768361581921;0.07662429378531073;0.2108050847457627;0.5614406779661016;0.00035310734463276836;1.3058933582787653;1.7307496175420705;2.2399103139013454;1.3025583982202447;1.2588028169014085;1.3472784525416104;0.06278255332696593;0.480611270296084;0.45660617637695
